genes	ranking	Gene.name.x	genes2	Final.CANDIDATES 1
ENSMUSG00000097451	1	Rian	RIAN	AXON CONTRAS
ENSMUSG00000040856	2	Dlk1	DLK1	AXON CONTRAS
ENSMUSG00000029697	3	Fezf1	FEZF1	AXON CONTRAS
ENSMUSG00000086296	4	D030055H07Rik	D030055H07RIK	AXON CONTRAS
ENSMUSG00000021466	5	Ptch1	PTCH1	AXON CONTRAS
ENSMUSG00000048251	6	Bcl11b	BCL11B	AXON CONTRAS
ENSMUSG00000033740	7	St18	ST18	AXON CONTRAS
ENSMUSG00000106775	8	C130093G08Rik	C130093G08RIK	AXON CONTRAS
ENSMUSG00000020258	9	Glyctk	GLYCTK	AXON CONTRAS
ENSMUSG00000021453	10	Gadd45g	GADD45G	AXON CONTRAS
ENSMUSG00000001496	11	Nkx2-1	NKX2-1	AXON CONTRAS
ENSMUSG00000086503	12	Xist	XIST	AXON CONTRAS
ENSMUSG00000020052	13	Ascl1	ASCL1	AXON CONTRAS
ENSMUSG00000029673	14	Auts2	AUTS2	AXON CONTRAS
ENSMUSG00000050334	15	C130071C03Rik	C130071C03RIK	AXON CONTRAS
ENSMUSG00000103427	16	Gm37534	GM37534	AXON CONTRAS
ENSMUSG00000047935	17	Sox1ot	SOX1OT	AXON CONTRAS
ENSMUSG00000041708	18	Mpped1	MPPED1	AXON CONTRAS
ENSMUSG00000097311	19	Gm26871	GM26871	AXON CONTRAS
ENSMUSG00000104901	20	Gm42692	GM42692	AXON CONTRAS
ENSMUSG00000027434	21	Nkx2-2	NKX2-2	AXON CONTRAS
ENSMUSG00000030551	22	Nr2f2	NR2F2	AXON CONTRAS
ENSMUSG00000052187	23	Hbb-y	HBB-Y	AXON CONTRAS
ENSMUSG00000097767	24	Miat	MIAT	AXON CONTRAS
ENSMUSG00000068740	25	Celsr2	CELSR2	AXON CONTRAS
ENSMUSG00000022483	26	Col2a1	COL2A1	AXON CONTRAS
ENSMUSG00000090386	27	Mir99ahg	MIR99AHG	AXON CONTRAS
ENSMUSG00000054252	28	Fgfr3	FGFR3	AXON CONTRAS
ENSMUSG00000097971	29	NA	NA	AXON CONTRAS
ENSMUSG00000098202	30	B830012L14Rik	B830012L14RIK	AXON CONTRAS
ENSMUSG00000047085	31	Lrrc4b	LRRC4B	AXON CONTRAS
ENSMUSG00000091095	32	NA	NA	AXON CONTRAS
ENSMUSG00000018476	33	Kdm6b	KDM6B	AXON CONTRAS
ENSMUSG00000039801	34	Cplane1	CPLANE1	AXON CONTRAS
ENSMUSG00000048154	35	Kmt2d	KMT2D	AXON CONTRAS
ENSMUSG00000080316	36	Spaca6	SPACA6	AXON CONTRAS
ENSMUSG00000002028	37	Kmt2a	KMT2A	AXON CONTRAS
ENSMUSG00000028047	38	Thbs3	THBS3	AXON CONTRAS
ENSMUSG00000085396	39	Firre	FIRRE	AXON CONTRAS
ENSMUSG00000069170	40	Adgrv1	ADGRV1	AXON CONTRAS
ENSMUSG00000027070	41	Lrp2	LRP2	AXON CONTRAS
ENSMUSG00000039477	42	Tnrc18	TNRC18	AXON CONTRAS
ENSMUSG00000107766	43	Gm44073	GM44073	AXON CONTRAS
ENSMUSG00000103784	44	Gm37526	GM37526	AXON CONTRAS
ENSMUSG00000085007	45	Smim43/Gm11549	SMIM43/GM11549	AXON CONTRAS
ENSMUSG00000088207	46	NA	NA	AXON CONTRAS
ENSMUSG00000104581	47	Gm42497	GM42497	AXON CONTRAS
ENSMUSG00000097986	48	Gm26953	GM26953	AXON CONTRAS
ENSMUSG00000031822	49	Gse1	GSE1	AXON CONTRAS
ENSMUSG00000073991	50	Cnbd1	CNBD1	AXON CONTRAS
ENSMUSG00000022974	51	Paxbp1	PAXBP1	AXON CONTRAS
ENSMUSG00000047501	52	Cldn4	CLDN4	AXON CONTRAS
ENSMUSG00000083149	53	Gm11380	GM11380	AXON CONTRAS
ENSMUSG00000071361	54	Mcpt9	MCPT9	AXON CONTRAS
ENSMUSG00000102969	55	Gm33366	GM33366	AXON CONTRAS
ENSMUSG00000075074	56	Olfr1254	OLFR1254	AXON CONTRAS
ENSMUSG00000084788	57	Gm11342	GM11342	AXON CONTRAS
ENSMUSG00000080906	58	Gm12095	GM12095	AXON CONTRAS
ENSMUSG00000088602	59	NA	NA	AXON CONTRAS
ENSMUSG00000089820	60	Gm15775	GM15775	AXON CONTRAS
ENSMUSG00000084875	61	4930570D08Rik	4930570D08RIK	AXON CONTRAS
ENSMUSG00000086557	62	Gm15999	GM15999	AXON CONTRAS
ENSMUSG00000035638	63	Muc20	MUC20	AXON CONTRAS
ENSMUSG00000024774	64	Ankrd22	ANKRD22	AXON CONTRAS
ENSMUSG00000092549	65	Gm20491	GM20491	AXON CONTRAS
ENSMUSG00000097996	66	Gm5313	GM5313	AXON CONTRAS
ENSMUSG00000051257	67	Trap1a	TRAP1A	AXON CONTRAS
ENSMUSG00000084332	68	Gm8840	GM8840	AXON CONTRAS
ENSMUSG00000064591	69	Gm22302	GM22302	AXON CONTRAS
ENSMUSG00000106991	70	Gm43399	GM43399	AXON CONTRAS
ENSMUSG00000047014	71	Catsperb	CATSPERB	AXON CONTRAS
ENSMUSG00000080657	72	Mir669i	MIR669I	AXON CONTRAS
ENSMUSG00000104312	73	Gm37912	GM37912	AXON CONTRAS
ENSMUSG00000104547	74	Gm43022	GM43022	AXON CONTRAS
ENSMUSG00000029068	75	Ccnl2	CCNL2	AXON CONTRAS
ENSMUSG00000064927	76	Gm22043	GM22043	AXON CONTRAS
ENSMUSG00000104625	77	Gm42448	GM42448	AXON CONTRAS
ENSMUSG00000105890	78	Gm42780	GM42780	AXON CONTRAS
ENSMUSG00000107690	79	Gm44044	GM44044	AXON CONTRAS
ENSMUSG00000106826	80	Gm42583	GM42583	AXON CONTRAS
ENSMUSG00000037270	81	4932438A13Rik	4932438A13RIK	AXON CONTRAS
ENSMUSG00000106045	82	Gm42996	GM42996	AXON CONTRAS
ENSMUSG00000074024	83	4632427E13Rik	4632427E13RIK	AXON CONTRAS
ENSMUSG00000065578	84	Mir181b-2	MIR181B-2	AXON CONTRAS
ENSMUSG00000097668	85	Gm26761	GM26761	AXON CONTRAS
ENSMUSG00000105615	86	Gm31048	GM31048	AXON CONTRAS
ENSMUSG00000092093	87	Gm17528	GM17528	AXON CONTRAS
ENSMUSG00000102922	88	Gm34176	GM34176	AXON CONTRAS
ENSMUSG00000084671	89	NA	NA	AXON CONTRAS
ENSMUSG00000098041	90	Gm26981	GM26981	AXON CONTRAS
ENSMUSG00000037876	91	Jmjd1c	JMJD1C	AXON CONTRAS
ENSMUSG00000103091	92	Gm37555	GM37555	AXON CONTRAS
ENSMUSG00000102579	93	Gm37965	GM37965	AXON CONTRAS
ENSMUSG00000031821	94	Gins2	GINS2	AXON CONTRAS
ENSMUSG00000032855	95	Pkd1	PKD1	AXON CONTRAS
ENSMUSG00000061780	96	Cfd	CFD	AXON CONTRAS
ENSMUSG00000073457	97	Smok2b	SMOK2B	AXON CONTRAS
ENSMUSG00000101265	98	Gm29099	GM29099	AXON CONTRAS
ENSMUSG00000087895	99	NA	NA	AXON CONTRAS
ENSMUSG00000087393	100	1700023C21Rik	1700023C21RIK	AXON CONTRAS
ENSMUSG00000097545	101	Mir124a-1hg	MIR124A-1HG	AXON CONTRAS
ENSMUSG00000064622	102	Gm22304	GM22304	AXON CONTRAS
ENSMUSG00000103366	103	C630004L07Rik	C630004L07RIK	AXON CONTRAS
ENSMUSG00000020385	104	Clk4	CLK4	AXON CONTRAS
ENSMUSG00000092918	105	NA	NA	AXON CONTRAS
ENSMUSG00000032560	106	Dnajc13	DNAJC13	AXON CONTRAS
ENSMUSG00000022868	107	Ahsg	AHSG	AXON CONTRAS
ENSMUSG00000068083	108	Cyp2d40	CYP2D40	AXON CONTRAS
ENSMUSG00000065612	109	Mir151	MIR151	AXON CONTRAS
ENSMUSG00000097195	110	Snhg5	SNHG5	AXON CONTRAS
ENSMUSG00000029505	111	Ep400	EP400	AXON CONTRAS
ENSMUSG00000063659	112	Zbtb18	ZBTB18	AXON CONTRAS
ENSMUSG00000042179	113	Pnliprp1	PNLIPRP1	AXON CONTRAS
ENSMUSG00000068232	114	Vmn1r42	VMN1R42	AXON CONTRAS
ENSMUSG00000087010	115	1700041M05Rik	1700041M05RIK	AXON CONTRAS
ENSMUSG00000097194	116	9330175E14Rik	9330175E14RIK	AXON CONTRAS
ENSMUSG00000107022	117	Gm36669	GM36669	AXON CONTRAS
ENSMUSG00000107960	118	Gm35077	GM35077	AXON CONTRAS
ENSMUSG00000097391	119	Mirg	MIRG	AXON CONTRAS
ENSMUSG00000070576	120	Mn1	MN1	AXON CONTRAS
ENSMUSG00000097348	121	NA	NA	AXON CONTRAS
ENSMUSG00000102659	122	Gm37077	GM37077	AXON CONTRAS
ENSMUSG00000028184	123	Adgrl2	ADGRL2	AXON CONTRAS
ENSMUSG00000000948	124	Gm38393	GM38393	AXON CONTRAS
ENSMUSG00000053646	125	Plxnb1	PLXNB1	AXON CONTRAS
ENSMUSG00000028760	126	Eif4g3	EIF4G3	AXON CONTRAS
ENSMUSG00000055609	127	Hba-x	HBA-X	AXON CONTRAS
ENSMUSG00000047193	128	Dync2h1	DYNC2H1	AXON CONTRAS
ENSMUSG00000103217	129	Gm38287	GM38287	AXON CONTRAS
ENSMUSG00000098051	130	Gm27032	GM27032	AXON CONTRAS
ENSMUSG00000078202	131	Nrarp	NRARP	AXON CONTRAS
ENSMUSG00000014786	132	Slc9a5	SLC9A5	AXON CONTRAS
ENSMUSG00000106211	133	Gm42842	GM42842	AXON CONTRAS
ENSMUSG00000027829	134	Ccnl1	CCNL1	AXON CONTRAS
ENSMUSG00000101609	135	Kcnq1ot1	KCNQ1OT1	AXON CONTRAS
ENSMUSG00000102254	136	Gm7496	GM7496	AXON CONTRAS
ENSMUSG00000004677	137	Myo9b	MYO9B	AXON CONTRAS
ENSMUSG00000037860	138	Aim2	AIM2	AXON CONTRAS
ENSMUSG00000085178	139	Kdm6bos	KDM6BOS	AXON CONTRAS
ENSMUSG00000046574	140	Prr12	PRR12	AXON CONTRAS
ENSMUSG00000041757	141	Plekha6	PLEKHA6	AXON CONTRAS
ENSMUSG00000042599	142	Kdm7a	KDM7A	AXON CONTRAS
ENSMUSG00000000861	143	Bcl11a	BCL11A	AXON CONTRAS
ENSMUSG00000018169	144	Mfng	MFNG	AXON CONTRAS
ENSMUSG00000062115	145	Rai1	RAI1	AXON CONTRAS
ENSMUSG00000086121	146	Gm16068	GM16068	AXON CONTRAS
ENSMUSG00000029439	147	Sfswap	SFSWAP	AXON CONTRAS
ENSMUSG00000021140	148	Pcnx	PCNX	AXON CONTRAS
ENSMUSG00000094870	149	Zfp131	ZFP131	AXON CONTRAS
ENSMUSG00000102672	150	Gm37105	GM37105	AXON CONTRAS
ENSMUSG00000057110	151	Cntrl	CNTRL	AXON CONTRAS
ENSMUSG00000033502	152	Cdc14a	CDC14A	AXON CONTRAS
ENSMUSG00000041219	153	Arhgap11a	ARHGAP11A	AXON CONTRAS
ENSMUSG00000037369	154	Kdm6a	KDM6A	AXON CONTRAS
ENSMUSG00000022141	155	Nipbl	NIPBL	AXON CONTRAS
ENSMUSG00000006307	156	Kmt2b	KMT2B	AXON CONTRAS
ENSMUSG00000016624	157	Phf21b	PHF21B	AXON CONTRAS
ENSMUSG00000043668	158	Tox3	TOX3	AXON CONTRAS
ENSMUSG00000038056	159	Kmt2c	KMT2C	AXON CONTRAS
ENSMUSG00000061028	160	Clasrp	CLASRP	AXON CONTRAS
ENSMUSG00000033253	161	Szt2	SZT2	AXON CONTRAS
ENSMUSG00000040363	162	Bcor	BCOR	AXON CONTRAS
ENSMUSG00000102194	163	Gm38169	GM38169	AXON CONTRAS
ENSMUSG00000035545	164	Leng8	LENG8	AXON CONTRAS
ENSMUSG00000037791	165	Phf12	PHF12	AXON CONTRAS
ENSMUSG00000038241	166	Cep250	CEP250	AXON CONTRAS
ENSMUSG00000025867	167	Cplx2	CPLX2	AXON CONTRAS
ENSMUSG00000024393	168	Prrc2a	PRRC2A	AXON CONTRAS
ENSMUSG00000021068	169	Nin	NIN	AXON CONTRAS
ENSMUSG00000102516	170	Gm38340	GM38340	AXON CONTRAS
ENSMUSG00000106254	171	Gm42907	GM42907	AXON CONTRAS
ENSMUSG00000107000	172	Gm43481	GM43481	AXON CONTRAS
ENSMUSG00000086714	173	0610009E02Rik	0610009E02RIK	AXON CONTRAS
ENSMUSG00000028799	174	Zfp362	ZFP362	AXON CONTRAS
ENSMUSG00000103992	175	Gm38029	GM38029	AXON CONTRAS
ENSMUSG00000054135	176	A430110L20Rik	A430110L20RIK	AXON CONTRAS
ENSMUSG00000057522	177	Spop	SPOP	AXON CONTRAS
ENSMUSG00000085767	178	Gm13563	GM13563	AXON CONTRAS
ENSMUSG00000026927	179	Entr1	ENTR1	AXON CONTRAS
ENSMUSG00000038146	180	Notch3	NOTCH3	AXON CONTRAS
ENSMUSG00000030655	181	Smg1	SMG1	AXON CONTRAS
ENSMUSG00000102282	182	A930032L01Rik	A930032L01RIK	AXON CONTRAS
ENSMUSG00000098973	183	Mir6236	MIR6236	AXON CONTRAS
ENSMUSG00000039741	184	Bahcc1	BAHCC1	AXON CONTRAS
ENSMUSG00000034610	185	Tut4	TUT4	AXON CONTRAS
ENSMUSG00000064043	186	Trerf1	TRERF1	AXON CONTRAS
ENSMUSG00000079659	187	Tmem243	TMEM243	AXON CONTRAS
ENSMUSG00000042448	188	Hoxd1	HOXD1	AXON CONTRAS
ENSMUSG00000043940	189	Wdfy3	WDFY3	AXON CONTRAS
ENSMUSG00000052415	190	Tchh	TCHH	AXON CONTRAS
ENSMUSG00000104969	191	Gm43445	GM43445	AXON CONTRAS
ENSMUSG00000048271	192	Rbm33	RBM33	AXON CONTRAS
ENSMUSG00000056763	193	Cspp1	CSPP1	AXON CONTRAS
ENSMUSG00000103706	194	6820402A03Rik	6820402A03RIK	AXON CONTRAS
ENSMUSG00000102258	195	Gm38257	GM38257	AXON CONTRAS
ENSMUSG00000046169	196	Adamts6	ADAMTS6	AXON CONTRAS
ENSMUSG00000079491	197	H2-T10	H2-T10	AXON CONTRAS
ENSMUSG00000104516	198	Gm9884	GM9884	AXON CONTRAS
ENSMUSG00000097589	199	Dleu2	DLEU2	AXON CONTRAS
ENSMUSG00000041064	200	Pif1	PIF1	AXON CONTRAS
ENSMUSG00000029516	201	Cit	CIT	AXON CONTRAS
ENSMUSG00000052707	202	Tnrc6a	TNRC6A	AXON CONTRAS
ENSMUSG00000105137	203	Gm42869	GM42869	AXON CONTRAS
ENSMUSG00000023473	204	Celsr3	CELSR3	AXON CONTRAS
ENSMUSG00000009741	205	Ubp1	UBP1	AXON CONTRAS
ENSMUSG00000042625	206	Safb2	SAFB2	AXON CONTRAS
ENSMUSG00000097446	207	Gm26629	GM26629	AXON CONTRAS
ENSMUSG00000032637	208	Atxn2l	ATXN2L	AXON CONTRAS
ENSMUSG00000097430	209	Gm10544	GM10544	AXON CONTRAS
ENSMUSG00000104325	210	Gm37321	GM37321	AXON CONTRAS
ENSMUSG00000037552	211	Plekhg2	PLEKHG2	AXON CONTRAS
ENSMUSG00000074619	212	1700034I23Rik	1700034I23RIK	AXON CONTRAS
ENSMUSG00000005442	213	Cic	CIC	AXON CONTRAS
ENSMUSG00000030664	214	Sox6os	SOX6OS	AXON CONTRAS
ENSMUSG00000104010	215	Gm37366	GM37366	AXON CONTRAS
ENSMUSG00000040524	216	Zfp609	ZFP609	AXON CONTRAS
ENSMUSG00000097857	217	NA	NA	AXON CONTRAS
ENSMUSG00000064368	218	mt-Nd6	MT-ND6	AXON CONTRAS
ENSMUSG00000037400	219	Atp11b	ATP11B	AXON CONTRAS
ENSMUSG00000063447	220	Ube2d2b	UBE2D2B	AXON CONTRAS
ENSMUSG00000104118	221	Gm37298	GM37298	AXON CONTRAS
ENSMUSG00000000600	222	Krit1	KRIT1	AXON CONTRAS
ENSMUSG00000102496	223	Gm36989	GM36989	AXON CONTRAS
ENSMUSG00000047854	224	Stx19	STX19	AXON CONTRAS
ENSMUSG00000096736	225	Gm17535	GM17535	AXON CONTRAS
ENSMUSG00000029478	226	Ncor2	NCOR2	AXON CONTRAS
ENSMUSG00000027365	227	Trpm7	TRPM7	AXON CONTRAS
ENSMUSG00000040229	228	Gpr34	GPR34	AXON CONTRAS
ENSMUSG00000101348	229	Gm7135	GM7135	AXON CONTRAS
ENSMUSG00000085715	230	Tsix	TSIX	AXON CONTRAS
ENSMUSG00000040738	231	Ints8	INTS8	AXON CONTRAS
ENSMUSG00000035164	232	Zc3h12c	ZC3H12C	AXON CONTRAS
ENSMUSG00000029510	233	Gpc2	GPC2	AXON CONTRAS
ENSMUSG00000068267	234	Cenpb	CENPB	AXON CONTRAS
ENSMUSG00000042605	235	Atxn2	ATXN2	AXON CONTRAS
ENSMUSG00000103507	236	Gm38375	GM38375	AXON CONTRAS
ENSMUSG00000078502	237	Zfp268	ZFP268	AXON CONTRAS
ENSMUSG00000022803	238	Popdc2	POPDC2	AXON CONTRAS
ENSMUSG00000063511	239	Snrnp70	SNRNP70	AXON CONTRAS
ENSMUSG00000052488	240	Cherp	CHERP	AXON CONTRAS
ENSMUSG00000078491	241	Gm13090	GM13090	AXON CONTRAS
ENSMUSG00000104132	242	Gm36952	GM36952	AXON CONTRAS
ENSMUSG00000022521	243	Crebbp	CREBBP	AXON CONTRAS
ENSMUSG00000055415	244	Atp10b	ATP10B	AXON CONTRAS
ENSMUSG00000024045	245	Akap8	AKAP8	AXON CONTRAS
ENSMUSG00000030562	246	Nox4	NOX4	AXON CONTRAS
ENSMUSG00000095547	247	Gm10719	GM10719	AXON CONTRAS
ENSMUSG00000024565	248	Sall3	SALL3	AXON CONTRAS
ENSMUSG00000045962	249	Wnk1	WNK1	AXON CONTRAS
ENSMUSG00000108489	250	Gm45025	GM45025	AXON CONTRAS
ENSMUSG00000073144	251	4930599N23Rik	4930599N23RIK	AXON CONTRAS
ENSMUSG00000041258	252	Zfp236	ZFP236	AXON CONTRAS
ENSMUSG00000056211	253	R3hdm1	R3HDM1	AXON CONTRAS
ENSMUSG00000037416	254	Dmxl1	DMXL1	AXON CONTRAS
ENSMUSG00000098979	255	NA	NA	AXON CONTRAS
ENSMUSG00000080753	256	Gm15613	GM15613	AXON CONTRAS
ENSMUSG00000107927	257	Gm44090	GM44090	AXON CONTRAS
ENSMUSG00000036960	258	Clca2	CLCA2	AXON CONTRAS
ENSMUSG00000034269	259	Setd5	SETD5	AXON CONTRAS
ENSMUSG00000036916	260	Zfp280c	ZFP280C	AXON CONTRAS
ENSMUSG00000021519	261	Mterf3	MTERF3	AXON CONTRAS
ENSMUSG00000039137	262	Whrn	WHRN	AXON CONTRAS
ENSMUSG00000084836	263	Gm16274	GM16274	AXON CONTRAS
ENSMUSG00000037007	264	Zfp113	ZFP113	AXON CONTRAS
ENSMUSG00000085936	265	2610307P16Rik	2610307P16RIK	AXON CONTRAS
ENSMUSG00000086944	266	Gm15859	GM15859	AXON CONTRAS
ENSMUSG00000039205	267	Ciz1	CIZ1	AXON CONTRAS
ENSMUSG00000089788	268	NA	NA	AXON CONTRAS
ENSMUSG00000106047	269	Gm42942	GM42942	AXON CONTRAS
ENSMUSG00000075225	270	Ccdc162	CCDC162	AXON CONTRAS
ENSMUSG00000097444	271	NA	NA	AXON CONTRAS
ENSMUSG00000034154	272	Ino80	INO80	AXON CONTRAS
ENSMUSG00000038535	273	Zfp280d	ZFP280D	AXON CONTRAS
ENSMUSG00000108568	274	Olfr277-ps1	OLFR277-PS1	AXON CONTRAS
ENSMUSG00000021209	275	Ppp4r4	PPP4R4	AXON CONTRAS
ENSMUSG00000025223	276	Ldb1	LDB1	AXON CONTRAS
ENSMUSG00000108146	277	Gm43889	GM43889	AXON CONTRAS
ENSMUSG00000024240	278	Epc1	EPC1	AXON CONTRAS
ENSMUSG00000029714	279	Gigyf1	GIGYF1	AXON CONTRAS
ENSMUSG00000085481	280	Gm16304	GM16304	AXON CONTRAS
ENSMUSG00000085847	281	Gm14540	GM14540	AXON CONTRAS
ENSMUSG00000092365	282	BC023719	BC023719	AXON CONTRAS
ENSMUSG00000069804	283	Gm10277	GM10277	AXON CONTRAS
ENSMUSG00000084839	284	Gm14097	GM14097	AXON CONTRAS
ENSMUSG00000085206	285	Gm13380	GM13380	AXON CONTRAS
ENSMUSG00000090565	286	4930405O22Rik	4930405O22RIK	AXON CONTRAS
ENSMUSG00000085428	287	Gm14344	GM14344	AXON CONTRAS
ENSMUSG00000107290	288	Gm43282	GM43282	AXON CONTRAS
ENSMUSG00000064679	289	Gm25357	GM25357	AXON CONTRAS
ENSMUSG00000105519	290	E430021H15Rik	E430021H15RIK	AXON CONTRAS
ENSMUSG00000000049	291	Apoh	APOH	AXON CONTRAS
ENSMUSG00000098403	292	NA	NA	AXON CONTRAS
ENSMUSG00000031776	293	Arl2bp	ARL2BP	AXON CONTRAS
ENSMUSG00000048442	294	Smim5	SMIM5	AXON CONTRAS
ENSMUSG00000063600	295	Egfem1	EGFEM1	AXON CONTRAS
ENSMUSG00000103621	296	Gm38366	GM38366	AXON CONTRAS
ENSMUSG00000073664	297	Nbeal1	NBEAL1	AXON CONTRAS
ENSMUSG00000107427	298	Gm43948	GM43948	AXON CONTRAS
ENSMUSG00000069743	299	Zfp820	ZFP820	AXON CONTRAS
ENSMUSG00000104200	300	Gm37399	GM37399	AXON CONTRAS
ENSMUSG00000104910	301	Gm43331	GM43331	AXON CONTRAS
ENSMUSG00000107320	302	Gm42549	GM42549	AXON CONTRAS
ENSMUSG00000048897	303	Zfp710	ZFP710	AXON CONTRAS
ENSMUSG00000078898	304	Zfp968	ZFP968	AXON CONTRAS
ENSMUSG00000027550	305	Lrrcc1	LRRCC1	AXON CONTRAS
ENSMUSG00000029004	306	Kmt2e	KMT2E	AXON CONTRAS
ENSMUSG00000074136	307	4930513N10Rik	4930513N10RIK	AXON CONTRAS
ENSMUSG00000103663	308	2900037B21Rik	2900037B21RIK	AXON CONTRAS
ENSMUSG00000096792	309	Gm21956	GM21956	AXON CONTRAS
ENSMUSG00000105179	310	Gm42866	GM42866	AXON CONTRAS
ENSMUSG00000086047	311	9530046B11Rik	9530046B11RIK	AXON CONTRAS
ENSMUSG00000074406	312	Zfp628	ZFP628	AXON CONTRAS
ENSMUSG00000093429	313	Vmn1r-ps145	VMN1R-PS145	AXON CONTRAS
ENSMUSG00000097219	314	NA	NA	AXON CONTRAS
ENSMUSG00000040594	315	Ranbp17	RANBP17	AXON CONTRAS
ENSMUSG00000022857	316	Tmprss15	TMPRSS15	AXON CONTRAS
ENSMUSG00000085246	317	Gm15893	GM15893	AXON CONTRAS
ENSMUSG00000029406	318	Pitpnm2	PITPNM2	AXON CONTRAS
ENSMUSG00000082570	319	Gm15711	GM15711	AXON CONTRAS
ENSMUSG00000040938	320	Slc16a11	SLC16A11	AXON CONTRAS
ENSMUSG00000025404	321	R3hdm2	R3HDM2	AXON CONTRAS
ENSMUSG00000103384	322	Gm37753	GM37753	AXON CONTRAS
ENSMUSG00000061589	323	Dot1l	DOT1L	AXON CONTRAS
ENSMUSG00000018537	324	Pcgf2	PCGF2	AXON CONTRAS
ENSMUSG00000097300	325	NA	NA	AXON CONTRAS
ENSMUSG00000028560	326	Usp1	USP1	AXON CONTRAS
ENSMUSG00000032547	327	Ryk	RYK	AXON CONTRAS
ENSMUSG00000056342	328	Usp34	USP34	AXON CONTRAS
ENSMUSG00000061136	329	Prpf40a	PRPF40A	AXON CONTRAS
ENSMUSG00000097501	330	NA	NA	AXON CONTRAS
ENSMUSG00000086373	331	Gm11978	GM11978	AXON CONTRAS
ENSMUSG00000044150	332	Bclaf3	BCLAF3	AXON CONTRAS
ENSMUSG00000020740	333	Gga3	GGA3	AXON CONTRAS
ENSMUSG00000039834	334	Zfp335	ZFP335	AXON CONTRAS
ENSMUSG00000061436	335	Hipk2	HIPK2	AXON CONTRAS
ENSMUSG00000039117	336	Taf4	TAF4	AXON CONTRAS
ENSMUSG00000040964	337	Arhgef10l	ARHGEF10L	AXON CONTRAS
ENSMUSG00000024335	338	Brd2	BRD2	AXON CONTRAS
ENSMUSG00000108365	339	Gm44951	GM44951	AXON CONTRAS
ENSMUSG00000020290	340	Xpo1	XPO1	AXON CONTRAS
ENSMUSG00000104100	341	Gm37880	GM37880	AXON CONTRAS
ENSMUSG00000101970	342	Chaserr	CHASERR	AXON CONTRAS
ENSMUSG00000049658	343	Bdp1	BDP1	AXON CONTRAS
ENSMUSG00000103742	344	Gm38240	GM38240	AXON CONTRAS
ENSMUSG00000035632	345	Cnot3	CNOT3	AXON CONTRAS
ENSMUSG00000068394	346	Cep152	CEP152	AXON CONTRAS
ENSMUSG00000042784	347	Muc1	MUC1	AXON CONTRAS
ENSMUSG00000021244	348	Ylpm1	YLPM1	AXON CONTRAS
ENSMUSG00000097585	349	E230029C05Rik	E230029C05RIK	AXON CONTRAS
ENSMUSG00000103343	350	Gm37052	GM37052	AXON CONTRAS
ENSMUSG00000024242	351	Map4k3	MAP4K3	AXON CONTRAS
ENSMUSG00000104342	352	Gm36401	GM36401	AXON CONTRAS
ENSMUSG00000035673	353	Sbno2	SBNO2	AXON CONTRAS
ENSMUSG00000052942	354	Glis3	GLIS3	AXON CONTRAS
ENSMUSG00000108269	355	Gm18422	GM18422	AXON CONTRAS
ENSMUSG00000054453	356	Sytl5	SYTL5	AXON CONTRAS
ENSMUSG00000079555	357	Haus3	HAUS3	AXON CONTRAS
ENSMUSG00000029823	358	Luc7l2	LUC7L2	AXON CONTRAS
ENSMUSG00000034317	359	Trim59	TRIM59	AXON CONTRAS
ENSMUSG00000053358	360	Gm9905	GM9905	AXON CONTRAS
ENSMUSG00000106651	361	Gm42608	GM42608	AXON CONTRAS
ENSMUSG00000028188	362	Spata1	SPATA1	AXON CONTRAS
ENSMUSG00000097023	363	Mir9-3hg	MIR9-3HG	AXON CONTRAS
ENSMUSG00000033737	364	Fndc3c1	FNDC3C1	AXON CONTRAS
ENSMUSG00000102250	365	Gm38260	GM38260	AXON CONTRAS
ENSMUSG00000002221	366	Paxip1	PAXIP1	AXON CONTRAS
ENSMUSG00000049295	367	Zfp219	ZFP219	AXON CONTRAS
ENSMUSG00000018501	368	Ncor1	NCOR1	AXON CONTRAS
ENSMUSG00000106665	369	Gm43389	GM43389	AXON CONTRAS
ENSMUSG00000090093	370	Gm14399	GM14399	AXON CONTRAS
ENSMUSG00000023484	371	Prph	PRPH	AXON CONTRAS
ENSMUSG00000075266	372	Cenpw	CENPW	AXON CONTRAS
ENSMUSG00000043340	373	6530409C15Rik	6530409C15RIK	AXON CONTRAS
ENSMUSG00000105265	374	Sox2ot	SOX2OT	AXON CONTRAS
ENSMUSG00000041362	375	Shtn1	SHTN1	AXON CONTRAS
ENSMUSG00000056972	376	Magel2	MAGEL2	AXON CONTRAS
ENSMUSG00000050271	377	Prag1	PRAG1	AXON CONTRAS
ENSMUSG00000032363	378	Adamts7	ADAMTS7	AXON CONTRAS
ENSMUSG00000068748	379	Ptprz1	PTPRZ1	AXON CONTRAS
ENSMUSG00000004891	380	Nes	NES	AXON CONTRAS
ENSMUSG00000062078	381	Qk	QK	AXON CONTRAS
ENSMUSG00000021614	382	Vcan	VCAN	AXON CONTRAS
ENSMUSG00000022272	383	Myo10	MYO10	AXON CONTRAS
ENSMUSG00000021268	384	Meg3	MEG3	AXON CONTRAS
ENSMUSG00000084946	385	Dlx1as	DLX1AS	AXON CONTRAS
ENSMUSG00000053166	386	Cdh22	CDH22	AXON CONTRAS
ENSMUSG00000085925	387	Rtl1	RTL1	AXON CONTRAS
