genes	ranking	Gene.name.x	genes2	Final.CANDIDATES 1
ENSMUSG00000024456	741	Diaph1	DIAPH1	AXON CONTRAS
ENSMUSG00000052397	742	Ezr	EZR	AXON CONTRAS
ENSMUSG00000106457	743	Gm42585	GM42585	AXON CONTRAS
ENSMUSG00000029859	744	Epha1	EPHA1	AXON CONTRAS
ENSMUSG00000040940	745	Arhgef1	ARHGEF1	AXON CONTRAS
ENSMUSG00000032125	746	Robo4	ROBO4	AXON CONTRAS
ENSMUSG00000102465	747	Gm38198	GM38198	AXON CONTRAS
ENSMUSG00000050821	748	Fam131a	FAM131A	AXON CONTRAS
ENSMUSG00000038738	749	Shank1	SHANK1	AXON CONTRAS
ENSMUSG00000018774	750	Cd68	CD68	AXON CONTRAS
ENSMUSG00000102145	751	Gm38056	GM38056	AXON CONTRAS
ENSMUSG00000018986	752	Slfn3	SLFN3	AXON CONTRAS
ENSMUSG00000085054	753	Gm15834	GM15834	AXON CONTRAS
ENSMUSG00000079065	754	NA	NA	AXON CONTRAS
ENSMUSG00000031982	755	Arv1	ARV1	AXON CONTRAS
ENSMUSG00000103375	756	Gm37181	GM37181	AXON CONTRAS
ENSMUSG00000108389	757	Gm45206	GM45206	AXON CONTRAS
ENSMUSG00000069806	758	Cacng7	CACNG7	AXON CONTRAS
ENSMUSG00000037235	759	Mxd4	MXD4	AXON CONTRAS
ENSMUSG00000042810	760	Krba1	KRBA1	AXON CONTRAS
ENSMUSG00000047888	761	Tnrc6b	TNRC6B	AXON CONTRAS
ENSMUSG00000055239	762	Kcmf1	KCMF1	AXON CONTRAS
ENSMUSG00000038072	763	Galnt11	GALNT11	AXON CONTRAS
ENSMUSG00000049676	764	Catsperg1	CATSPERG1	AXON CONTRAS
ENSMUSG00000097789	765	Gm2115	GM2115	AXON CONTRAS
ENSMUSG00000073490	766	Ifi207	IFI207	AXON CONTRAS
ENSMUSG00000033697	767	Arhgap39	ARHGAP39	AXON CONTRAS
ENSMUSG00000038143	768	Stox2	STOX2	AXON CONTRAS
ENSMUSG00000034686	769	Prr7	PRR7	AXON CONTRAS
ENSMUSG00000022468	770	Endou	ENDOU	AXON CONTRAS
ENSMUSG00000027009	771	Itga4	ITGA4	AXON CONTRAS
ENSMUSG00000015312	772	Gadd45b	GADD45B	AXON CONTRAS
ENSMUSG00000027677	773	Ttc14	TTC14	AXON CONTRAS
ENSMUSG00000031932	774	Gpr83	GPR83	AXON CONTRAS
ENSMUSG00000036057	775	Ptpn23	PTPN23	AXON CONTRAS
ENSMUSG00000021738	776	Atxn7	ATXN7	AXON CONTRAS
ENSMUSG00000064267	777	Hvcn1	HVCN1	AXON CONTRAS
ENSMUSG00000042349	778	Ikbke	IKBKE	AXON CONTRAS
ENSMUSG00000047786	779	Lix1	LIX1	AXON CONTRAS
ENSMUSG00000096956	780	Snhg18	SNHG18	AXON CONTRAS
ENSMUSG00000022897	781	Dyrk1a	DYRK1A	AXON CONTRAS
ENSMUSG00000028842	782	Ago3	AGO3	AXON CONTRAS
ENSMUSG00000063382	783	Bcl9l	BCL9L	AXON CONTRAS
ENSMUSG00000025202	784	Scd3	SCD3	AXON CONTRAS
ENSMUSG00000080968	785	Atf1-ps	ATF1-PS	AXON CONTRAS
ENSMUSG00000091390	786	Gm17168	GM17168	AXON CONTRAS
ENSMUSG00000029122	787	Evc	EVC	AXON CONTRAS
ENSMUSG00000106978	788	N4bp2os	N4BP2OS	AXON CONTRAS
ENSMUSG00000010277	789	2610507B11Rik	2610507B11RIK	AXON CONTRAS
ENSMUSG00000084421	790	Gm25107	GM25107	AXON CONTRAS
ENSMUSG00000072889	791	Nfxl1	NFXL1	AXON CONTRAS
ENSMUSG00000089922	792	Gm43517	GM43517	AXON CONTRAS
ENSMUSG00000025724	793	Sec11a	SEC11A	AXON CONTRAS
ENSMUSG00000016255	794	Tubb1	TUBB1	AXON CONTRAS
ENSMUSG00000097061	795	9330151L19Rik	9330151L19RIK	AXON CONTRAS
ENSMUSG00000105431	796	Gm42640	GM42640	AXON CONTRAS
ENSMUSG00000061232	797	H2-K1	H2-K1	AXON CONTRAS
ENSMUSG00000039536	798	Stau1	STAU1	AXON CONTRAS
ENSMUSG00000103006	799	4933417C20Rik	4933417C20RIK	AXON CONTRAS
ENSMUSG00000083874	800	Gm7494	GM7494	AXON CONTRAS
ENSMUSG00000027346	801	Gpcpd1	GPCPD1	AXON CONTRAS
ENSMUSG00000027423	802	Snx5	SNX5	AXON CONTRAS
ENSMUSG00000052062	803	Pard3b	PARD3B	AXON CONTRAS
ENSMUSG00000087396	804	4933407K13Rik	4933407K13RIK	AXON CONTRAS
ENSMUSG00000097912	805	NA	NA	AXON CONTRAS
ENSMUSG00000041328	806	Pcf11	PCF11	AXON CONTRAS
ENSMUSG00000002847	807	Pla1a	PLA1A	AXON CONTRAS
ENSMUSG00000029166	808	Mapre3	MAPRE3	AXON CONTRAS
ENSMUSG00000096918	809	Gm16863	GM16863	AXON CONTRAS
ENSMUSG00000028555	810	Ttc39a	TTC39A	AXON CONTRAS
ENSMUSG00000039330	811	Tsga10ip	TSGA10IP	AXON CONTRAS
ENSMUSG00000098275	812	Gm18014	GM18014	AXON CONTRAS
ENSMUSG00000021969	813	Zdhhc20	ZDHHC20	AXON CONTRAS
ENSMUSG00000019254	814	Ppp1r12c	PPP1R12C	AXON CONTRAS
ENSMUSG00000040761	815	Spen	SPEN	AXON CONTRAS
ENSMUSG00000085389	816	1700003M07Rik	1700003M07RIK	AXON CONTRAS
ENSMUSG00000097536	817	2610037D02Rik	2610037D02RIK	AXON CONTRAS
ENSMUSG00000082674	818	Gm11914	GM11914	AXON CONTRAS
ENSMUSG00000042353	819	Frem3	FREM3	AXON CONTRAS
ENSMUSG00000105485	820	Gm42447	GM42447	AXON CONTRAS
ENSMUSG00000026048	821	Ercc5	ERCC5	AXON CONTRAS
ENSMUSG00000036353	822	P2ry12	P2RY12	AXON CONTRAS
ENSMUSG00000022718	823	Dgcr8	DGCR8	AXON CONTRAS
ENSMUSG00000040138	824	Ndp	NDP	AXON CONTRAS
ENSMUSG00000028020	825	Glrb	GLRB	AXON CONTRAS
ENSMUSG00000104037	826	Gm37776	GM37776	AXON CONTRAS
ENSMUSG00000050234	827	Gja4	GJA4	AXON CONTRAS
ENSMUSG00000030284	828	Creld1	CRELD1	AXON CONTRAS
ENSMUSG00000108784	829	4930517G19Rik	4930517G19RIK	AXON CONTRAS
ENSMUSG00000013858	830	Tmem259	TMEM259	AXON CONTRAS
ENSMUSG00000029452	831	Tmem116	TMEM116	AXON CONTRAS
ENSMUSG00000095007	832	Igkv12-41	IGKV12-41	AXON CONTRAS
ENSMUSG00000104861	833	3110039M20Rik	3110039M20RIK	AXON CONTRAS
ENSMUSG00000086805	834	4932443L11Rik	4932443L11RIK	AXON CONTRAS
ENSMUSG00000026826	835	Nr4a2	NR4A2	AXON CONTRAS
ENSMUSG00000099224	836	NA	NA	AXON CONTRAS
ENSMUSG00000042351	837	Grap2	GRAP2	AXON CONTRAS
ENSMUSG00000013928	838	1700020L13Rik	1700020L13RIK	AXON CONTRAS
ENSMUSG00000022332	839	Khdrbs3	KHDRBS3	AXON CONTRAS
ENSMUSG00000024055	840	Cyp4f13	CYP4F13	AXON CONTRAS
ENSMUSG00000085334	841	Gm12940	GM12940	AXON CONTRAS
ENSMUSG00000044712	842	Slc38a6	SLC38A6	AXON CONTRAS
ENSMUSG00000080574	843	Mir466i	MIR466I	AXON CONTRAS
ENSMUSG00000051379	844	Flrt3	FLRT3	AXON CONTRAS
ENSMUSG00000102850	845	Gm37082	GM37082	AXON CONTRAS
ENSMUSG00000032754	846	Slc8b1	SLC8B1	AXON CONTRAS
ENSMUSG00000104546	847	Gm43858	GM43858	AXON CONTRAS
ENSMUSG00000087348	848	Gm15582	GM15582	AXON CONTRAS
ENSMUSG00000010492	849	Uckl1os	UCKL1OS	AXON CONTRAS
ENSMUSG00000057246	850	BC051142	BC051142	AXON CONTRAS
ENSMUSG00000047216	851	Cdh19	CDH19	AXON CONTRAS
ENSMUSG00000024873	852	Cnih2	CNIH2	AXON CONTRAS
ENSMUSG00000050944	853	Efcab5	EFCAB5	AXON CONTRAS
ENSMUSG00000018412	854	Kansl1	KANSL1	AXON CONTRAS
ENSMUSG00000040483	855	Xaf1	XAF1	AXON CONTRAS
ENSMUSG00000072571	856	Tmem253	TMEM253	AXON CONTRAS
