	genes	ranking	Gene.name.x	genes2	Final.CANDIDATES	X1	GENEBIOTYPE	SYMBOL	GENENAME
257	ENSMUSG00000107927	257	Gm44090	GM44090	AXON	CONTRAS	NA	NA	NA
258	ENSMUSG00000036960	258	Clca2	CLCA2	AXON	CONTRAS	protein_coding	Clca5	Clca5
259	ENSMUSG00000034269	259	Setd5	SETD5	AXON	CONTRAS	protein_coding	Setd5	Setd5
260	ENSMUSG00000036916	260	Zfp280c	ZFP280C	AXON	CONTRAS	protein_coding	Zfp280c	Zfp280c
261	ENSMUSG00000021519	261	Mterf3	MTERF3	AXON	CONTRAS	protein_coding	Mterf3	Mterf3
262	ENSMUSG00000039137	262	Whrn	WHRN	AXON	CONTRAS	protein_coding	Whrn	Whrn
263	ENSMUSG00000084836	263	Gm16274	GM16274	AXON	CONTRAS	processed_pseudogene	Gm16274	Gm16274
264	ENSMUSG00000037007	264	Zfp113	ZFP113	AXON	CONTRAS	protein_coding	Zfp113	Zfp113
265	ENSMUSG00000085936	265	2610307P16Rik	2610307P16RIK	AXON	CONTRAS	processed_transcript	2610307P16Rik	2610307P16Rik
266	ENSMUSG00000086944	266	Gm15859	GM15859	AXON	CONTRAS	antisense	Gm15859	Gm15859
267	ENSMUSG00000039205	267	Ciz1	CIZ1	AXON	CONTRAS	protein_coding	Ciz1	Ciz1
268	ENSMUSG00000089788	268	NA	NA	AXON	CONTRAS	antisense	Gm16586	Gm16586
269	ENSMUSG00000106047	269	Gm42942	GM42942	AXON	CONTRAS	NA	NA	NA
270	ENSMUSG00000075225	270	Ccdc162	CCDC162	AXON	CONTRAS	protein_coding	Ccdc162	Ccdc162
271	ENSMUSG00000097444	271	NA	NA	AXON	CONTRAS	lincRNA	Gm10489	Gm10489
272	ENSMUSG00000034154	272	Ino80	INO80	AXON	CONTRAS	protein_coding	Ino80	Ino80
273	ENSMUSG00000038535	273	Zfp280d	ZFP280D	AXON	CONTRAS	protein_coding	Zfp280d	Zfp280d
274	ENSMUSG00000108568	274	Olfr277-ps1	OLFR277-PS1	AXON	CONTRAS	NA	NA	NA
275	ENSMUSG00000021209	275	Ppp4r4	PPP4R4	AXON	CONTRAS	protein_coding	Ppp4r4	Ppp4r4
276	ENSMUSG00000025223	276	Ldb1	LDB1	AXON	CONTRAS	protein_coding	Ldb1	Ldb1
277	ENSMUSG00000108146	277	Gm43889	GM43889	AXON	CONTRAS	NA	NA	NA
278	ENSMUSG00000024240	278	Epc1	EPC1	AXON	CONTRAS	protein_coding	Epc1	Epc1
279	ENSMUSG00000029714	279	Gigyf1	GIGYF1	AXON	CONTRAS	protein_coding	Gigyf1	Gigyf1
280	ENSMUSG00000085481	280	Gm16304	GM16304	AXON	CONTRAS	processed_pseudogene	Gm16304	Gm16304
281	ENSMUSG00000085847	281	Gm14540	GM14540	AXON	CONTRAS	antisense	Gm14540	Gm14540
282	ENSMUSG00000092365	282	BC023719	BC023719	AXON	CONTRAS	antisense	BC023719	BC023719
283	ENSMUSG00000069804	283	Gm10277	GM10277	AXON	CONTRAS	protein_coding	Gm10277	Gm10277
284	ENSMUSG00000084839	284	Gm14097	GM14097	AXON	CONTRAS	antisense	Gm14097	Gm14097
285	ENSMUSG00000085206	285	Gm13380	GM13380	AXON	CONTRAS	sense_intronic	Gm13380	Gm13380
286	ENSMUSG00000090565	286	4930405O22Rik	4930405O22RIK	AXON	CONTRAS	sense_intronic	4930405O22Rik	4930405O22Rik
287	ENSMUSG00000085428	287	Gm14344	GM14344	AXON	CONTRAS	lincRNA	Gm14344	Gm14344
288	ENSMUSG00000107290	288	Gm43282	GM43282	AXON	CONTRAS	NA	NA	NA
289	ENSMUSG00000064679	289	Gm25357	GM25357	AXON	CONTRAS	snoRNA	Gm25357	Gm25357
290	ENSMUSG00000105519	290	E430021H15Rik	E430021H15RIK	AXON	CONTRAS	NA	NA	NA
291	ENSMUSG00000000049	291	Apoh	APOH	AXON	CONTRAS	protein_coding	Apoh	Apoh
292	ENSMUSG00000098403	292	NA	NA	AXON	CONTRAS	miRNA	Gm27415	Gm27415
293	ENSMUSG00000031776	293	Arl2bp	ARL2BP	AXON	CONTRAS	protein_coding	Arl2bp	Arl2bp
294	ENSMUSG00000048442	294	Smim5	SMIM5	AXON	CONTRAS	protein_coding	Smim5	Smim5
295	ENSMUSG00000063600	295	Egfem1	EGFEM1	AXON	CONTRAS	protein_coding	Egfem1	Egfem1
296	ENSMUSG00000103621	296	Gm38366	GM38366	AXON	CONTRAS	TEC	RP23-250G8.9	RP23-250G8.9
297	ENSMUSG00000073664	297	Nbeal1	NBEAL1	AXON	CONTRAS	protein_coding	Nbeal1	Nbeal1
298	ENSMUSG00000107427	298	Gm43948	GM43948	AXON	CONTRAS	NA	NA	NA
299	ENSMUSG00000069743	299	Zfp820	ZFP820	AXON	CONTRAS	protein_coding	Zfp820	Zfp820
300	ENSMUSG00000104200	300	Gm37399	GM37399	AXON	CONTRAS	TEC	RP23-172P6.1	RP23-172P6.1
301	ENSMUSG00000104910	301	Gm43331	GM43331	AXON	CONTRAS	NA	NA	NA
302	ENSMUSG00000107320	302	Gm42549	GM42549	AXON	CONTRAS	NA	NA	NA
303	ENSMUSG00000048897	303	Zfp710	ZFP710	AXON	CONTRAS	protein_coding	Zfp710	Zfp710
304	ENSMUSG00000078898	304	Zfp968	ZFP968	AXON	CONTRAS	protein_coding	Gm4723	Gm4723
305	ENSMUSG00000027550	305	Lrrcc1	LRRCC1	AXON	CONTRAS	protein_coding	Lrrcc1	Lrrcc1
306	ENSMUSG00000029004	306	Kmt2e	KMT2E	AXON	CONTRAS	protein_coding	Kmt2e	Kmt2e
307	ENSMUSG00000074136	307	4930513N10Rik	4930513N10RIK	AXON	CONTRAS	processed_transcript	4930513N10Rik	4930513N10Rik
308	ENSMUSG00000103663	308	2900037B21Rik	2900037B21RIK	AXON	CONTRAS	TEC	RP24-186G5.2	RP24-186G5.2
309	ENSMUSG00000096792	309	Gm21956	GM21956	AXON	CONTRAS	unprocessed_pseudogene	Gm21956	Gm21956
310	ENSMUSG00000105179	310	Gm42866	GM42866	AXON	CONTRAS	NA	NA	NA
311	ENSMUSG00000086047	311	9530046B11Rik	9530046B11RIK	AXON	CONTRAS	processed_transcript	9530046B11Rik	9530046B11Rik
312	ENSMUSG00000074406	312	Zfp628	ZFP628	AXON	CONTRAS	protein_coding	Zfp628	Zfp628
313	ENSMUSG00000093429	313	Vmn1r-ps145	VMN1R-PS145	AXON	CONTRAS	unprocessed_pseudogene	Vmn1r-ps145	Vmn1r-ps145
314	ENSMUSG00000097219	314	NA	NA	AXON	CONTRAS	lincRNA	Gm26551	Gm26551
315	ENSMUSG00000040594	315	Ranbp17	RANBP17	AXON	CONTRAS	protein_coding	Ranbp17	Ranbp17
