	genes	ranking	Gene.name.x	genes2	Final.CANDIDATES	X1	GENEBIOTYPE	SYMBOL	GENENAME
574	ENSMUSG00000038637	574	Lrrc56	LRRC56	AXON	CONTRAS	protein_coding	Lrrc56	Lrrc56
575	ENSMUSG00000038453	575	Srcin1	SRCIN1	AXON	CONTRAS	protein_coding	Srcin1	Srcin1
576	ENSMUSG00000025324	576	Atp10a	ATP10A	AXON	CONTRAS	protein_coding	Atp10a	Atp10a
577	ENSMUSG00000050910	577	Cdr2l	CDR2L	AXON	CONTRAS	protein_coding	Cdr2l	Cdr2l
578	ENSMUSG00000056536	578	Pign	PIGN	AXON	CONTRAS	protein_coding	Pign	Pign
579	ENSMUSG00000086155	579	9430041J12Rik	9430041J12RIK	AXON	CONTRAS	processed_transcript	9430041J12Rik	9430041J12Rik
580	ENSMUSG00000026874	580	Hc	HC	AXON	CONTRAS	protein_coding	Hc	Hc
581	ENSMUSG00000044337	581	Ackr3	ACKR3	AXON	CONTRAS	protein_coding	Ackr3	Ackr3
582	ENSMUSG00000056155	582	Nanos3	NANOS3	AXON	CONTRAS	protein_coding	Nanos3	Nanos3
583	ENSMUSG00000074824	583	Rslcan18	RSLCAN18	AXON	CONTRAS	protein_coding	Rslcan18	Rslcan18
584	ENSMUSG00000059981	584	Taok2	TAOK2	AXON	CONTRAS	protein_coding	Taok2	Taok2
585	ENSMUSG00000042514	585	Klhl14	KLHL14	AXON	CONTRAS	protein_coding	Klhl14	Klhl14
586	ENSMUSG00000101559	586	Gm28258	GM28258	AXON	CONTRAS	lincRNA	Gm28258	Gm28258
587	ENSMUSG00000087302	587	Sox5os1	SOX5OS1	AXON	CONTRAS	antisense	Sox5os1	Sox5os1
588	ENSMUSG00000026313	588	Hdac4	HDAC4	AXON	CONTRAS	protein_coding	Hdac4	Hdac4
589	ENSMUSG00000059481	589	Plg	PLG	AXON	CONTRAS	protein_coding	Plg	Plg
590	ENSMUSG00000103032	590	Gm37121	GM37121	AXON	CONTRAS	TEC	RP23-149A5.4	RP23-149A5.4
591	ENSMUSG00000070427	591	Il18bp	IL18BP	AXON	CONTRAS	protein_coding	Il18bp	Il18bp
592	ENSMUSG00000004846	592	Plod3	PLOD3	AXON	CONTRAS	protein_coding	Plod3	Plod3
593	ENSMUSG00000026121	593	Sema4c	SEMA4C	AXON	CONTRAS	protein_coding	Sema4c	Sema4c
594	ENSMUSG00000037640	594	Zfp60	ZFP60	AXON	CONTRAS	protein_coding	Zfp60	Zfp60
595	ENSMUSG00000062393	595	Dgkk	DGKK	AXON	CONTRAS	protein_coding	Dgkk	Dgkk
596	ENSMUSG00000107120	596	Gm43059	GM43059	AXON	CONTRAS	NA	NA	NA
597	ENSMUSG00000091345	597	Col6a5	COL6A5	AXON	CONTRAS	protein_coding	Col6a5	Col6a5
598	ENSMUSG00000022672	598	Prkdc	PRKDC	AXON	CONTRAS	protein_coding	Prkdc	Prkdc
599	ENSMUSG00000086414	599	Gm15645	GM15645	AXON	CONTRAS	transcribed_processed_pseudogene	Gm15645	Gm15645
600	ENSMUSG00000020776	600	Fbf1	FBF1	AXON	CONTRAS	protein_coding	Fbf1	Fbf1
601	ENSMUSG00000086847	601	Tbx3os2	TBX3OS2	AXON	CONTRAS	processed_transcript	Tbx3os2	Tbx3os2
602	ENSMUSG00000038552	602	Fndc4	FNDC4	AXON	CONTRAS	protein_coding	Fndc4	Fndc4
603	ENSMUSG00000097209	603	AU022754	AU022754	AXON	CONTRAS	lincRNA	AU022754	AU022754
604	ENSMUSG00000035722	604	Abca7	ABCA7	AXON	CONTRAS	protein_coding	Abca7	Abca7
605	ENSMUSG00000028226	605	Mmp16	MMP16	AXON	CONTRAS	protein_coding	Mmp16	Mmp16
606	ENSMUSG00000021047	606	Nova1	NOVA1	AXON	CONTRAS	protein_coding	Nova1	Nova1
607	ENSMUSG00000055799	607	Tcf7l1	TCF7L1	AXON	CONTRAS	protein_coding	Tcf7l1	Tcf7l1
608	ENSMUSG00000041390	608	Mdfic	MDFIC	AXON	CONTRAS	protein_coding	Mdfic	Mdfic
609	ENSMUSG00000055691	609	Gja6	GJA6	AXON	CONTRAS	protein_coding	Gja6	Gja6
610	ENSMUSG00000030779	610	Rbbp6	RBBP6	AXON	CONTRAS	protein_coding	Rbbp6	Rbbp6
611	ENSMUSG00000032536	611	Trak1	TRAK1	AXON	CONTRAS	protein_coding	Trak1	Trak1
612	ENSMUSG00000090078	612	Gm16147	GM16147	AXON	CONTRAS	processed_pseudogene	Gm16147	Gm16147
613	ENSMUSG00000064329	613	Scn1a	SCN1A	AXON	CONTRAS	protein_coding	Scn1a	Scn1a
614	ENSMUSG00000103932	614	Gm36963	GM36963	AXON	CONTRAS	TEC	RP23-65G17.2	RP23-65G17.2
615	ENSMUSG00000049866	615	Arl4c	ARL4C	AXON	CONTRAS	protein_coding	Arl4c	Arl4c
616	ENSMUSG00000064339	616	mt-Rnr2	MT-RNR2	AXON	CONTRAS	Mt_rRNA	mt-Rnr2	mt-Rnr2
617	ENSMUSG00000100789	617	Gm29508	GM29508	AXON	CONTRAS	antisense	Gm29508	Gm29508
618	ENSMUSG00000078486	618	Perm1	PERM1	AXON	CONTRAS	protein_coding	Perm1	Perm1
619	ENSMUSG00000045672	619	Col27a1	COL27A1	AXON	CONTRAS	protein_coding	Col27a1	Col27a1
620	ENSMUSG00000031262	620	Cenpi	CENPI	AXON	CONTRAS	protein_coding	Cenpi	Cenpi
621	ENSMUSG00000028158	621	Mttp	MTTP	AXON	CONTRAS	protein_coding	Mttp	Mttp
622	ENSMUSG00000001855	622	Nup214	NUP214	AXON	CONTRAS	protein_coding	Nup214	Nup214
623	ENSMUSG00000019832	623	Rab32	RAB32	AXON	CONTRAS	protein_coding	Rab32	Rab32
624	ENSMUSG00000018927	624	Ccl6	CCL6	AXON	CONTRAS	protein_coding	Ccl6	Ccl6
625	ENSMUSG00000031605	625	Klhl2	KLHL2	AXON	CONTRAS	protein_coding	Klhl2	Klhl2
626	ENSMUSG00000102466	626	Gm38200	GM38200	AXON	CONTRAS	TEC	RP24-511H12.2	RP24-511H12.2
627	ENSMUSG00000026771	627	Spopl	SPOPL	AXON	CONTRAS	protein_coding	Spopl	Spopl
628	ENSMUSG00000036550	628	Cnot1	CNOT1	AXON	CONTRAS	protein_coding	Cnot1	Cnot1
629	ENSMUSG00000041482	629	Piezo2	PIEZO2	AXON	CONTRAS	protein_coding	Piezo2	Piezo2
630	ENSMUSG00000036478	630	Btg1	BTG1	AXON	CONTRAS	protein_coding	Btg1	Btg1
631	ENSMUSG00000045348	631	Nyap1	NYAP1	AXON	CONTRAS	protein_coding	Nyap1	Nyap1
632	ENSMUSG00000032297	632	Celf6	CELF6	AXON	CONTRAS	protein_coding	Celf6	Celf6
633	ENSMUSG00000103285	633	Gm37274	GM37274	AXON	CONTRAS	TEC	RP23-220D12.13	RP23-220D12.13
634	ENSMUSG00000088615	634	NA	NA	AXON	CONTRAS	snRNA	Gm22485	Gm22485
635	ENSMUSG00000099568	635	Gm28513	GM28513	AXON	CONTRAS	antisense	Gm28513	Gm28513
636	ENSMUSG00000085782	636	Gm15624	GM15624	AXON	CONTRAS	antisense	Gm15624	Gm15624
637	ENSMUSG00000032418	637	Me1	ME1	AXON	CONTRAS	protein_coding	Me1	Me1
638	ENSMUSG00000038384	638	Setd1b	SETD1B	AXON	CONTRAS	protein_coding	Setd1b	Setd1b
639	ENSMUSG00000086769	639	Gm15587	GM15587	AXON	CONTRAS	antisense	Gm15587	Gm15587
640	ENSMUSG00000035762	640	Tmem161b	TMEM161B	AXON	CONTRAS	protein_coding	Tmem161b	Tmem161b
641	ENSMUSG00000106557	641	Gm42442	GM42442	AXON	CONTRAS	NA	NA	NA
642	ENSMUSG00000030350	642	Prmt8	PRMT8	AXON	CONTRAS	protein_coding	Prmt8	Prmt8
643	ENSMUSG00000025145	643	Lrrc45	LRRC45	AXON	CONTRAS	protein_coding	Lrrc45	Lrrc45
644	ENSMUSG00000024937	644	Ehbp1l1	EHBP1L1	AXON	CONTRAS	protein_coding	Ehbp1l1	Ehbp1l1
645	ENSMUSG00000103495	645	Gm37409	GM37409	AXON	CONTRAS	TEC	RP23-93D12.1	RP23-93D12.1
646	ENSMUSG00000020747	646	Tmem94	TMEM94	AXON	CONTRAS	protein_coding	2310067B10Rik	2310067B10Rik
647	ENSMUSG00000103928	647	Gm37893	GM37893	AXON	CONTRAS	TEC	RP24-167M10.4	RP24-167M10.4
648	ENSMUSG00000042390	648	Gatad2b	GATAD2B	AXON	CONTRAS	protein_coding	Gatad2b	Gatad2b
649	ENSMUSG00000036502	649	Tmem255a	TMEM255A	AXON	CONTRAS	protein_coding	Tmem255a	Tmem255a
650	ENSMUSG00000006527	650	Sfmbt1	SFMBT1	AXON	CONTRAS	protein_coding	Sfmbt1	Sfmbt1
651	ENSMUSG00000098061	651	NA	NA	AXON	CONTRAS	lincRNA	Gm26945	Gm26945
652	ENSMUSG00000102205	652	9430092D12Rik	9430092D12RIK	AXON	CONTRAS	TEC	RP23-239I17.3	RP23-239I17.3
653	ENSMUSG00000098816	653	NA	NA	AXON	CONTRAS	misc_RNA	Gm27786	Gm27786
654	ENSMUSG00000039470	654	Zdhhc2	ZDHHC2	AXON	CONTRAS	protein_coding	Zdhhc2	Zdhhc2
655	ENSMUSG00000087672	655	Gm15122	GM15122	AXON	CONTRAS	antisense	Gm15122	Gm15122
656	ENSMUSG00000093734	656	NA	NA	AXON	CONTRAS	misc_RNA	Gm25082	Gm25082
657	ENSMUSG00000042105	657	Inpp5f	INPP5F	AXON	CONTRAS	protein_coding	Inpp5f	Inpp5f
658	ENSMUSG00000033906	658	Zdhhc15	ZDHHC15	AXON	CONTRAS	protein_coding	Zdhhc15	Zdhhc15
659	ENSMUSG00000032532	659	Cck	CCK	AXON	CONTRAS	protein_coding	Cck	Cck
660	ENSMUSG00000047495	660	Dlgap2	DLGAP2	AXON	CONTRAS	protein_coding	Dlgap2	Dlgap2
661	ENSMUSG00000040390	661	Map3k10	MAP3K10	AXON	CONTRAS	protein_coding	Map3k10	Map3k10
662	ENSMUSG00000102555	662	6430511E19Rik	6430511E19RIK	AXON	CONTRAS	TEC	RP23-474B13.2	RP23-474B13.2
663	ENSMUSG00000053510	663	Nrd1	NRD1	AXON	CONTRAS	protein_coding	Nrd1	Nrd1
664	ENSMUSG00000035493	664	Tgfbi	TGFBI	AXON	CONTRAS	protein_coding	Tgfbi	Tgfbi
665	ENSMUSG00000057672	665	Pkn1	PKN1	AXON	CONTRAS	protein_coding	Pkn1	Pkn1
666	ENSMUSG00000040118	666	Cacna2d1	CACNA2D1	AXON	CONTRAS	protein_coding	Cacna2d1	Cacna2d1
667	ENSMUSG00000085581	667	Gm12786	GM12786	AXON	CONTRAS	antisense	Gm12786	Gm12786
668	ENSMUSG00000105326	668	6030400A10Rik	6030400A10RIK	AXON	CONTRAS	NA	NA	NA
669	ENSMUSG00000103749	669	Pcdhgb5	PCDHGB5	AXON	CONTRAS	protein_coding	Pcdhgb5	Pcdhgb5
670	ENSMUSG00000022371	670	Col14a1	COL14A1	AXON	CONTRAS	protein_coding	Col14a1	Col14a1
671	ENSMUSG00000090958	671	Lrrc32	LRRC32	AXON	CONTRAS	protein_coding	Lrrc32	Lrrc32
672	ENSMUSG00000038248	672	Sobp	SOBP	AXON	CONTRAS	protein_coding	Sobp	Sobp
673	ENSMUSG00000052364	673	B630019K06Rik	B630019K06RIK	AXON	CONTRAS	protein_coding	B630019K06Rik	B630019K06Rik
674	ENSMUSG00000025473	674	Adam8	ADAM8	AXON	CONTRAS	protein_coding	Adam8	Adam8
675	ENSMUSG00000054412	675	Gm4793	GM4793	AXON	CONTRAS	antisense	Gm4793	Gm4793
676	ENSMUSG00000038213	676	Tapbpl	TAPBPL	AXON	CONTRAS	protein_coding	Tapbpl	Tapbpl
677	ENSMUSG00000047090	677	Tmem198b	TMEM198B	AXON	CONTRAS	protein_coding	Tmem198b	Tmem198b
678	ENSMUSG00000065530	678	Mir99a	MIR99A	AXON	CONTRAS	miRNA	Mir99a	Mir99a
679	ENSMUSG00000043432	679	Leng9	LENG9	AXON	CONTRAS	protein_coding	Leng9	Leng9
680	ENSMUSG00000061578	680	Ksr2	KSR2	AXON	CONTRAS	protein_coding	Ksr2	Ksr2
681	ENSMUSG00000102428	681	Pcdhga12	PCDHGA12	AXON	CONTRAS	protein_coding	PCDHGA12	PCDHGA12
682	ENSMUSG00000050503	682	Fbxl22	FBXL22	AXON	CONTRAS	protein_coding	Fbxl22	Fbxl22
683	ENSMUSG00000041789	683	2700046A07Rik	2700046A07RIK	AXON	CONTRAS	lincRNA	2700046A07Rik	2700046A07Rik
684	ENSMUSG00000081492	684	Gm9311	GM9311	AXON	CONTRAS	processed_pseudogene	Gm9311	Gm9311
685	ENSMUSG00000039199	685	Zdhhc1	ZDHHC1	AXON	CONTRAS	protein_coding	Zdhhc1	Zdhhc1
686	ENSMUSG00000023000	686	Dhh	DHH	AXON	CONTRAS	protein_coding	Dhh	Dhh
687	ENSMUSG00000104653	687	Gm43109	GM43109	AXON	CONTRAS	NA	NA	NA
688	ENSMUSG00000100309	688	Gm6644	GM6644	AXON	CONTRAS	processed_pseudogene	Gm6644	Gm6644
689	ENSMUSG00000051451	689	Crebzf	CREBZF	AXON	CONTRAS	protein_coding	Crebzf	Crebzf
690	ENSMUSG00000027716	690	Trpc3	TRPC3	AXON	CONTRAS	protein_coding	Trpc3	Trpc3
691	ENSMUSG00000091568	691	Gm8206	GM8206	AXON	CONTRAS	protein_coding	Gm8206	Gm8206
692	ENSMUSG00000026566	692	Mpzl1	MPZL1	AXON	CONTRAS	protein_coding	Mpzl1	Mpzl1
693	ENSMUSG00000073400	693	Trim10	TRIM10	AXON	CONTRAS	protein_coding	Trim10	Trim10
694	ENSMUSG00000027263	694	Tubgcp4	TUBGCP4	AXON	CONTRAS	protein_coding	Tubgcp4	Tubgcp4
695	ENSMUSG00000029086	695	Prom1	PROM1	AXON	CONTRAS	protein_coding	Prom1	Prom1
696	ENSMUSG00000087131	696	Gm16152	GM16152	AXON	CONTRAS	antisense	Gm16152	Gm16152
697	ENSMUSG00000028794	697	A3galt2	A3GALT2	AXON	CONTRAS	protein_coding	A3galt2	A3galt2
698	ENSMUSG00000029723	698	Tsc22d4	TSC22D4	AXON	CONTRAS	protein_coding	Tsc22d4	Tsc22d4
699	ENSMUSG00000100799	699	1700027H10Rik	1700027H10RIK	AXON	CONTRAS	antisense	1700027H10Rik	1700027H10Rik
700	ENSMUSG00000035401	700	Emsy	EMSY	AXON	CONTRAS	protein_coding	2210018M11Rik	2210018M11Rik
701	ENSMUSG00000086701	701	Gm13595	GM13595	AXON	CONTRAS	antisense	Gm13595	Gm13595
702	ENSMUSG00000081951	702	Gm15352	GM15352	AXON	CONTRAS	processed_pseudogene	Gm15352	Gm15352
703	ENSMUSG00000026843	703	Fubp3	FUBP3	AXON	CONTRAS	protein_coding	Fubp3	Fubp3
704	ENSMUSG00000026754	704	Golga1	GOLGA1	AXON	CONTRAS	protein_coding	Golga1	Golga1
705	ENSMUSG00000087500	705	Gm12426	GM12426	AXON	CONTRAS	antisense	Gm12426	Gm12426
706	ENSMUSG00000048834	706	Vstm2a	VSTM2A	AXON	CONTRAS	protein_coding	Vstm2a	Vstm2a
707	ENSMUSG00000106385	707	Gm42943	GM42943	AXON	CONTRAS	NA	NA	NA
708	ENSMUSG00000024330	708	Col11a2	COL11A2	AXON	CONTRAS	protein_coding	Col11a2	Col11a2
709	ENSMUSG00000108802	709	Gm44769	GM44769	AXON	CONTRAS	NA	NA	NA
710	ENSMUSG00000045813	710	Gm9801	GM9801	AXON	CONTRAS	pseudogene	Gm9801	Gm9801
711	ENSMUSG00000021719	711	Rgs7bp	RGS7BP	AXON	CONTRAS	protein_coding	Rgs7bp	Rgs7bp
712	ENSMUSG00000037972	712	Snn	SNN	AXON	CONTRAS	protein_coding	Snn	Snn
713	ENSMUSG00000053552	713	Ebf4	EBF4	AXON	CONTRAS	protein_coding	Ebf4	Ebf4
714	ENSMUSG00000030549	714	Rhcg	RHCG	AXON	CONTRAS	protein_coding	Rhcg	Rhcg
715	ENSMUSG00000060212	715	Pcnx2	PCNX2	AXON	CONTRAS	protein_coding	Pcnxl2	Pcnxl2
716	ENSMUSG00000026941	716	Mamdc4	MAMDC4	AXON	CONTRAS	protein_coding	Mamdc4	Mamdc4
717	ENSMUSG00000004317	717	Clcn5	CLCN5	AXON	CONTRAS	protein_coding	Clcn5	Clcn5
718	ENSMUSG00000037579	718	Kcnh3	KCNH3	AXON	CONTRAS	protein_coding	Kcnh3	Kcnh3
719	ENSMUSG00000050138	719	Kcnk12	KCNK12	AXON	CONTRAS	protein_coding	Kcnk12	Kcnk12
720	ENSMUSG00000032462	720	Pik3cb	PIK3CB	AXON	CONTRAS	protein_coding	Pik3cb	Pik3cb
721	ENSMUSG00000040584	721	Abcb1a	ABCB1A	AXON	CONTRAS	protein_coding	Abcb1a	Abcb1a
722	ENSMUSG00000030790	722	Adm	ADM	AXON	CONTRAS	protein_coding	Adm	Adm
723	ENSMUSG00000059854	723	Hydin	HYDIN	AXON	CONTRAS	protein_coding	Hydin	Hydin
724	ENSMUSG00000102568	724	Gm37040	GM37040	AXON	CONTRAS	TEC	RP23-340C13.4	RP23-340C13.4
725	ENSMUSG00000080873	725	Rpl30-ps3	RPL30-PS3	AXON	CONTRAS	processed_pseudogene	Rpl30-ps3	Rpl30-ps3
726	ENSMUSG00000086612	726	Gm12064	GM12064	AXON	CONTRAS	antisense	Gm12064	Gm12064
727	ENSMUSG00000104415	727	Gm37069	GM37069	AXON	CONTRAS	TEC	RP23-67I3.5	RP23-67I3.5
728	ENSMUSG00000049184	728	Purg	PURG	AXON	CONTRAS	protein_coding	Purg	Purg
729	ENSMUSG00000037337	729	Map4k1	MAP4K1	AXON	CONTRAS	protein_coding	Map4k1	Map4k1
730	ENSMUSG00000004565	730	Pnpla6	PNPLA6	AXON	CONTRAS	protein_coding	Pnpla6	Pnpla6
731	ENSMUSG00000108053	731	Gm43890	GM43890	AXON	CONTRAS	NA	NA	NA
732	ENSMUSG00000085024	732	C230035I16Rik	C230035I16RIK	AXON	CONTRAS	lincRNA	C230035I16Rik	C230035I16Rik
733	ENSMUSG00000072972	733	Adam4	ADAM4	AXON	CONTRAS	protein_coding	Adam4	Adam4
734	ENSMUSG00000027820	734	Mme	MME	AXON	CONTRAS	protein_coding	Mme	Mme
735	ENSMUSG00000036422	735	Pcdh8	PCDH8	AXON	CONTRAS	protein_coding	Pcdh8	Pcdh8
736	ENSMUSG00000081264	736	Gm14021	GM14021	AXON	CONTRAS	processed_pseudogene	Gm14021	Gm14021
737	ENSMUSG00000055629	737	B4galnt4	B4GALNT4	AXON	CONTRAS	protein_coding	B4galnt4	B4galnt4
738	ENSMUSG00000047180	738	Neurl3	NEURL3	AXON	CONTRAS	protein_coding	Neurl3	Neurl3
739	ENSMUSG00000086166	739	Gm14342	GM14342	AXON	CONTRAS	lincRNA	Gm14342	Gm14342
740	ENSMUSG00000085884	740	Gm15342	GM15342	AXON	CONTRAS	processed_transcript	Gm15342	Gm15342
741	ENSMUSG00000024456	741	Diaph1	DIAPH1	AXON	CONTRAS	protein_coding	Diap1	Diap1
742	ENSMUSG00000052397	742	Ezr	EZR	AXON	CONTRAS	protein_coding	Ezr	Ezr
743	ENSMUSG00000106457	743	Gm42585	GM42585	AXON	CONTRAS	NA	NA	NA
744	ENSMUSG00000029859	744	Epha1	EPHA1	AXON	CONTRAS	protein_coding	Epha1	Epha1
745	ENSMUSG00000040940	745	Arhgef1	ARHGEF1	AXON	CONTRAS	protein_coding	Arhgef1	Arhgef1
746	ENSMUSG00000032125	746	Robo4	ROBO4	AXON	CONTRAS	protein_coding	Robo4	Robo4
747	ENSMUSG00000102465	747	Gm38198	GM38198	AXON	CONTRAS	TEC	RP23-184I13.2	RP23-184I13.2
748	ENSMUSG00000050821	748	Fam131a	FAM131A	AXON	CONTRAS	protein_coding	Fam131a	Fam131a
749	ENSMUSG00000038738	749	Shank1	SHANK1	AXON	CONTRAS	protein_coding	Shank1	Shank1
750	ENSMUSG00000018774	750	Cd68	CD68	AXON	CONTRAS	protein_coding	Cd68	Cd68
751	ENSMUSG00000102145	751	Gm38056	GM38056	AXON	CONTRAS	TEC	RP23-453N3.4	RP23-453N3.4
752	ENSMUSG00000018986	752	Slfn3	SLFN3	AXON	CONTRAS	protein_coding	Slfn3	Slfn3
753	ENSMUSG00000085054	753	Gm15834	GM15834	AXON	CONTRAS	lincRNA	Gm15834	Gm15834
754	ENSMUSG00000079065	754	NA	NA	AXON	CONTRAS	protein_coding	BC005561	BC005561
755	ENSMUSG00000031982	755	Arv1	ARV1	AXON	CONTRAS	protein_coding	Arv1	Arv1
756	ENSMUSG00000103375	756	Gm37181	GM37181	AXON	CONTRAS	TEC	RP23-198G19.1	RP23-198G19.1
757	ENSMUSG00000108389	757	Gm45206	GM45206	AXON	CONTRAS	NA	NA	NA
758	ENSMUSG00000069806	758	Cacng7	CACNG7	AXON	CONTRAS	protein_coding	Cacng7	Cacng7
759	ENSMUSG00000037235	759	Mxd4	MXD4	AXON	CONTRAS	protein_coding	Mxd4	Mxd4
760	ENSMUSG00000042810	760	Krba1	KRBA1	AXON	CONTRAS	protein_coding	Krba1	Krba1
761	ENSMUSG00000047888	761	Tnrc6b	TNRC6B	AXON	CONTRAS	protein_coding	Tnrc6b	Tnrc6b
762	ENSMUSG00000055239	762	Kcmf1	KCMF1	AXON	CONTRAS	protein_coding	Kcmf1	Kcmf1
763	ENSMUSG00000038072	763	Galnt11	GALNT11	AXON	CONTRAS	protein_coding	Galnt11	Galnt11
764	ENSMUSG00000049676	764	Catsperg1	CATSPERG1	AXON	CONTRAS	protein_coding	Catsperg1	Catsperg1
765	ENSMUSG00000097789	765	Gm2115	GM2115	AXON	CONTRAS	lincRNA	Gm2115	Gm2115
766	ENSMUSG00000073490	766	Ifi207	IFI207	AXON	CONTRAS	protein_coding	AI607873	AI607873
767	ENSMUSG00000033697	767	Arhgap39	ARHGAP39	AXON	CONTRAS	protein_coding	Arhgap39	Arhgap39
768	ENSMUSG00000038143	768	Stox2	STOX2	AXON	CONTRAS	protein_coding	Stox2	Stox2
769	ENSMUSG00000034686	769	Prr7	PRR7	AXON	CONTRAS	protein_coding	Prr7	Prr7
770	ENSMUSG00000022468	770	Endou	ENDOU	AXON	CONTRAS	protein_coding	Endou	Endou
771	ENSMUSG00000027009	771	Itga4	ITGA4	AXON	CONTRAS	protein_coding	Itga4	Itga4
772	ENSMUSG00000015312	772	Gadd45b	GADD45B	AXON	CONTRAS	protein_coding	Gadd45b	Gadd45b
773	ENSMUSG00000027677	773	Ttc14	TTC14	AXON	CONTRAS	protein_coding	Ttc14	Ttc14
774	ENSMUSG00000031932	774	Gpr83	GPR83	AXON	CONTRAS	protein_coding	Gpr83	Gpr83
775	ENSMUSG00000036057	775	Ptpn23	PTPN23	AXON	CONTRAS	protein_coding	Ptpn23	Ptpn23
776	ENSMUSG00000021738	776	Atxn7	ATXN7	AXON	CONTRAS	protein_coding	Atxn7	Atxn7
777	ENSMUSG00000064267	777	Hvcn1	HVCN1	AXON	CONTRAS	protein_coding	Hvcn1	Hvcn1
778	ENSMUSG00000042349	778	Ikbke	IKBKE	AXON	CONTRAS	protein_coding	Ikbke	Ikbke
779	ENSMUSG00000047786	779	Lix1	LIX1	AXON	CONTRAS	protein_coding	Lix1	Lix1
780	ENSMUSG00000096956	780	Snhg18	SNHG18	AXON	CONTRAS	lincRNA	Snhg18	Snhg18
781	ENSMUSG00000022897	781	Dyrk1a	DYRK1A	AXON	CONTRAS	protein_coding	Dyrk1a	Dyrk1a
782	ENSMUSG00000028842	782	Ago3	AGO3	AXON	CONTRAS	protein_coding	Ago3	Ago3
783	ENSMUSG00000063382	783	Bcl9l	BCL9L	AXON	CONTRAS	protein_coding	Bcl9l	Bcl9l
784	ENSMUSG00000025202	784	Scd3	SCD3	AXON	CONTRAS	protein_coding	Scd3	Scd3
785	ENSMUSG00000080968	785	Atf1-ps	ATF1-PS	AXON	CONTRAS	processed_pseudogene	Gm1862	Gm1862
786	ENSMUSG00000091390	786	Gm17168	GM17168	AXON	CONTRAS	antisense	Gm17168	Gm17168
787	ENSMUSG00000029122	787	Evc	EVC	AXON	CONTRAS	protein_coding	Evc	Evc
788	ENSMUSG00000106978	788	N4bp2os	N4BP2OS	AXON	CONTRAS	NA	NA	NA
789	ENSMUSG00000010277	789	2610507B11Rik	2610507B11RIK	AXON	CONTRAS	protein_coding	2610507B11Rik	2610507B11Rik
790	ENSMUSG00000084421	790	Gm25107	GM25107	AXON	CONTRAS	snoRNA	Gm25107	Gm25107
791	ENSMUSG00000072889	791	Nfxl1	NFXL1	AXON	CONTRAS	protein_coding	Nfxl1	Nfxl1
792	ENSMUSG00000089922	792	Gm43517	GM43517	AXON	CONTRAS	protein_coding	3110039M20Rik	3110039M20Rik
793	ENSMUSG00000025724	793	Sec11a	SEC11A	AXON	CONTRAS	protein_coding	Sec11a	Sec11a
794	ENSMUSG00000016255	794	Tubb1	TUBB1	AXON	CONTRAS	protein_coding	Tubb1	Tubb1
795	ENSMUSG00000097061	795	9330151L19Rik	9330151L19RIK	AXON	CONTRAS	protein_coding	9330151L19Rik	9330151L19Rik
796	ENSMUSG00000105431	796	Gm42640	GM42640	AXON	CONTRAS	NA	NA	NA
797	ENSMUSG00000061232	797	H2-K1	H2-K1	AXON	CONTRAS	protein_coding	H2-K1	H2-K1
798	ENSMUSG00000039536	798	Stau1	STAU1	AXON	CONTRAS	protein_coding	Stau1	Stau1
799	ENSMUSG00000103006	799	4933417C20Rik	4933417C20RIK	AXON	CONTRAS	TEC	RP23-71J17.5	RP23-71J17.5
800	ENSMUSG00000083874	800	Gm7494	GM7494	AXON	CONTRAS	processed_pseudogene	Gm7494	Gm7494
801	ENSMUSG00000027346	801	Gpcpd1	GPCPD1	AXON	CONTRAS	protein_coding	Gpcpd1	Gpcpd1
802	ENSMUSG00000027423	802	Snx5	SNX5	AXON	CONTRAS	protein_coding	Snx5	Snx5
803	ENSMUSG00000052062	803	Pard3b	PARD3B	AXON	CONTRAS	protein_coding	Pard3b	Pard3b
804	ENSMUSG00000087396	804	4933407K13Rik	4933407K13RIK	AXON	CONTRAS	processed_transcript	4933407K13Rik	4933407K13Rik
805	ENSMUSG00000097912	805	NA	NA	AXON	CONTRAS	lincRNA	6330403N20Rik	6330403N20Rik
806	ENSMUSG00000041328	806	Pcf11	PCF11	AXON	CONTRAS	protein_coding	Pcf11	Pcf11
807	ENSMUSG00000002847	807	Pla1a	PLA1A	AXON	CONTRAS	protein_coding	Pla1a	Pla1a
808	ENSMUSG00000029166	808	Mapre3	MAPRE3	AXON	CONTRAS	protein_coding	Mapre3	Mapre3
809	ENSMUSG00000096918	809	Gm16863	GM16863	AXON	CONTRAS	lincRNA	Gm16863	Gm16863
810	ENSMUSG00000028555	810	Ttc39a	TTC39A	AXON	CONTRAS	protein_coding	Ttc39a	Ttc39a
811	ENSMUSG00000039330	811	Tsga10ip	TSGA10IP	AXON	CONTRAS	protein_coding	Tsga10ip	Tsga10ip
812	ENSMUSG00000098275	812	Gm18014	GM18014	AXON	CONTRAS	processed_pseudogene	Gm18014	Gm18014
813	ENSMUSG00000021969	813	Zdhhc20	ZDHHC20	AXON	CONTRAS	protein_coding	Zdhhc20	Zdhhc20
814	ENSMUSG00000019254	814	Ppp1r12c	PPP1R12C	AXON	CONTRAS	protein_coding	Ppp1r12c	Ppp1r12c
815	ENSMUSG00000040761	815	Spen	SPEN	AXON	CONTRAS	protein_coding	Spen	Spen
