ranking	genes	Gene.name.1	Gene2	Gene.type
1374	ENSMUSG00000021194	Chga	CHGA	NA
1375	ENSMUSG00000038860	Garnl3	GARNL3	NA
1376	ENSMUSG00000098072	Gm26995	GM26995	NA
1377	ENSMUSG00000023949	Tcte1	TCTE1	NA
1378	ENSMUSG00000033855	Ston1	STON1	NA
1379	ENSMUSG00000018574	Acadvl	ACADVL	NA
1380	ENSMUSG00000064294	Aox3	AOX3	NA
1381	ENSMUSG00000020422	Tns3	TNS3	NA
1382	ENSMUSG00000008206	Cers4	CERS4	NA
1383	ENSMUSG00000069456	Rdh16	RDH16	NA
1384	ENSMUSG00000025162	Csnk1d	CSNK1D	NA
1385	ENSMUSG00000001700	Gramd3	GRAMD3	NA
1386	ENSMUSG00000084915	C230037L18Rik	C230037L18RIK	NA
1387	ENSMUSG00000032410	Xrn1	XRN1	NA
1388	ENSMUSG00000035713	Usp35	USP35	NA
1389	ENSMUSG00000102336	Gm37233	GM37233	NA
1390	ENSMUSG00000102778	Gm38165	GM38165	NA
1391	ENSMUSG00000027860	Vangl1	VANGL1	NA
1392	ENSMUSG00000024168	Tmem204	TMEM204	NA
1393	ENSMUSG00000046550	Spin2c	SPIN2C	NA
1394	ENSMUSG00000068134	Zfp120	ZFP120	NA
1395	ENSMUSG00000021113	Snapc1	SNAPC1	NA
1396	ENSMUSG00000038497	Tmco3	TMCO3	NA
1397	ENSMUSG00000049606	Zfp644	ZFP644	NA
1398	ENSMUSG00000001520	Nrip2	NRIP2	NA
1399	ENSMUSG00000104122	Gm37482	GM37482	NA
1400	ENSMUSG00000037706	Cd81	CD81	NA
1401	ENSMUSG00000029761	Cald1	CALD1	NA
1402	ENSMUSG00000027748	Trpc4	TRPC4	NA
1403	ENSMUSG00000046603	Tcaim	TCAIM	NA
1404	ENSMUSG00000031146	Plp2	PLP2	NA
1405	ENSMUSG00000055172	C1ra	C1RA	NA
1406	ENSMUSG00000030302	Atp2b2	ATP2B2	NA
1407	ENSMUSG00000033278	Ptprm	PTPRM	NA
1408	ENSMUSG00000104918	Gm42944	GM42944	NA
1409	ENSMUSG00000007279	Scube2	SCUBE2	NA
1410	ENSMUSG00000090216	Gm16549	GM16549	NA
1411	ENSMUSG00000033007	Asic4	ASIC4	NA
1412	ENSMUSG00000044562	Rasip1	RASIP1	NA
1413	ENSMUSG00000069588	Gm11733	GM11733	NA
1414	ENSMUSG00000020590	Snx13	SNX13	NA
1415	ENSMUSG00000027890	Gstm4	GSTM4	NA
1416	ENSMUSG00000020828	Pld2	PLD2	NA
1417	ENSMUSG00000039747	Orai2	ORAI2	NA
1418	ENSMUSG00000037353	Letmd1	LETMD1	NA
1419	ENSMUSG00000046287	Pnma3	PNMA3	NA
1420	ENSMUSG00000057969	Sema3b	SEMA3B	NA
1421	ENSMUSG00000097604	Gm17322	GM17322	NA
1422	ENSMUSG00000031616	Ednra	EDNRA	NA
1423	ENSMUSG00000103310	Pcdha12	PCDHA12	NA
1424	ENSMUSG00000034278	Dnajc17	DNAJC17	NA
1425	ENSMUSG00000104419	2900092O11Rik	2900092O11RIK	NA
1426	ENSMUSG00000029185	Fam114a1	FAM114A1	NA
1427	ENSMUSG00000001227	Sema6b	SEMA6B	NA
1428	ENSMUSG00000041559	Fmod	FMOD	NA
1429	ENSMUSG00000104507	A430027H14Rik	A430027H14RIK	NA
1430	ENSMUSG00000060802	B2m	B2M	NA
1431	ENSMUSG00000048832	Vps37c	VPS37C	NA
1432	ENSMUSG00000006386	Tek	TEK	NA
1433	ENSMUSG00000090589	Gm17180	GM17180	NA
1434	ENSMUSG00000030842	Lamtor1	LAMTOR1	NA
1435	ENSMUSG00000097819	Gm26813	GM26813	NA
1436	ENSMUSG00000029405	G3bp2	G3BP2	NA
1437	ENSMUSG00000001786	Fbxo7	FBXO7	NA
1438	ENSMUSG00000067028	Cntnap5b	CNTNAP5B	NA
1439	ENSMUSG00000097911	Gm26691	GM26691	NA
1440	ENSMUSG00000032899	Styk1	STYK1	NA
1441	ENSMUSG00000103118	Gm37582	GM37582	NA
1442	ENSMUSG00000036357	Gpr101	GPR101	NA
1443	ENSMUSG00000095853	NA	NA	NA
1444	ENSMUSG00000048550	Thnsl1	THNSL1	NA
1445	ENSMUSG00000022517	Mgrn1	MGRN1	NA
1446	ENSMUSG00000067586	S1pr3	S1PR3	NA
1447	ENSMUSG00000001260	Gabrg1	GABRG1	NA
1448	ENSMUSG00000037434	Slc30a1	SLC30A1	NA
1449	ENSMUSG00000021504	B4galt7	B4GALT7	NA
1450	ENSMUSG00000097040	2610316D01Rik	2610316D01RIK	NA
1451	ENSMUSG00000093089	NA	NA	NA
1452	ENSMUSG00000108530	4930429H19Rik	4930429H19RIK	NA
1453	ENSMUSG00000027485	Bpifb1	BPIFB1	NA
1454	ENSMUSG00000036815	Dpp10	DPP10	NA
1455	ENSMUSG00000032336	Nptn	NPTN	NA
228	ENSMUSG00000067058	Rps15a-ps5	RPS15A-PS5	processed_pseudogene
240	ENSMUSG00000082253	Gm14639	GM14639	processed_pseudogene
248	ENSMUSG00000083621	Gm14586	GM14586	processed_pseudogene
250	ENSMUSG00000080848	Gm9385	GM9385	processed_pseudogene
290	ENSMUSG00000101309	Gm29397	GM29397	processed_pseudogene
355	ENSMUSG00000083681	Gm6640	GM6640	processed_pseudogene
362	ENSMUSG00000069972	Rps13-ps2	RPS13-PS2	processed_pseudogene
365	ENSMUSG00000062933	Gm10123	GM10123	processed_pseudogene
1	ENSMUSG00000001911	Nfix	NFIX	protein_coding
2	ENSMUSG00000019986	Ahi1	AHI1	protein_coding
3	ENSMUSG00000044647	Csrnp3	CSRNP3	protein_coding
4	ENSMUSG00000053398	Phgdh	PHGDH	protein_coding
5	ENSMUSG00000006932	Ctnnb1	CTNNB1	protein_coding
6	ENSMUSG00000043384	Gprasp1	GPRASP1	protein_coding
7	ENSMUSG00000046844	Vat1l	VAT1L	protein_coding
8	ENSMUSG00000025272	Tro	TRO	protein_coding
9	ENSMUSG00000072966	Gprasp2	GPRASP2	protein_coding
10	ENSMUSG00000026385	Dbi	DBI	protein_coding
11	ENSMUSG00000018411	Mapt	MAPT	protein_coding
12	ENSMUSG00000002985	Apoe	APOE	protein_coding
13	ENSMUSG00000017978	Cadps2	CADPS2	protein_coding
14	ENSMUSG00000036699	Zcchc12	ZCCHC12	protein_coding
15	ENSMUSG00000024921	Smarca2	SMARCA2	protein_coding
16	ENSMUSG00000006930	Hap1	HAP1	protein_coding
17	ENSMUSG00000021700	Rab3c	RAB3C	protein_coding
18	ENSMUSG00000046449	Nexmif	NEXMIF	protein_coding
19	ENSMUSG00000036972	Zic4	ZIC4	protein_coding
20	ENSMUSG00000022103	Gfra2	GFRA2	protein_coding
21	ENSMUSG00000018589	Glra2	GLRA2	protein_coding
22	ENSMUSG00000038393	Txnip	TXNIP	protein_coding
23	ENSMUSG00000016150	Tenm1	TENM1	protein_coding
24	ENSMUSG00000056602	Fry	FRY	protein_coding
26	ENSMUSG00000021303	Gng4	GNG4	protein_coding
27	ENSMUSG00000048583	Igf2	IGF2	protein_coding
29	ENSMUSG00000032936	Camkv	CAMKV	protein_coding
30	ENSMUSG00000090061	Nwd2	NWD2	protein_coding
31	ENSMUSG00000049281	Scn3b	SCN3B	protein_coding
32	ENSMUSG00000020585	Laptm4a	LAPTM4A	protein_coding
33	ENSMUSG00000026018	Ica1l	ICA1L	protein_coding
35	ENSMUSG00000040022	Rab11fip2	RAB11FIP2	protein_coding
36	ENSMUSG00000008153	Clstn3	CLSTN3	protein_coding
37	ENSMUSG00000031391	L1cam	L1CAM	protein_coding
39	ENSMUSG00000051527	Usp29	USP29	protein_coding
40	ENSMUSG00000037259	Dzank1	DZANK1	protein_coding
41	ENSMUSG00000003814	Calr	CALR	protein_coding
43	ENSMUSG00000016346	Kcnq2	KCNQ2	protein_coding
44	ENSMUSG00000033585	Ndn	NDN	protein_coding
45	ENSMUSG00000054640	Slc8a1	SLC8A1	protein_coding
46	ENSMUSG00000029126	Nsg1	NSG1	protein_coding
47	ENSMUSG00000040640	Erc2	ERC2	protein_coding
48	ENSMUSG00000053580	Tanc2	TANC2	protein_coding
50	ENSMUSG00000057897	Camk2b	CAMK2B	protein_coding
52	ENSMUSG00000050953	Gja1	GJA1	protein_coding
53	ENSMUSG00000063535	Zfp773	ZFP773	protein_coding
54	ENSMUSG00000001127	Araf	ARAF	protein_coding
55	ENSMUSG00000039239	Tgfb2	TGFB2	protein_coding
57	ENSMUSG00000027452	Acss1	ACSS1	protein_coding
58	ENSMUSG00000021939	Ctsb	CTSB	protein_coding
59	ENSMUSG00000033059	Pygb	PYGB	protein_coding
60	ENSMUSG00000026223	Itm2c	ITM2C	protein_coding
61	ENSMUSG00000021701	Plk2	PLK2	protein_coding
62	ENSMUSG00000073678	Pgap1	PGAP1	protein_coding
63	ENSMUSG00000038587	Akap12	AKAP12	protein_coding
64	ENSMUSG00000019230	Lhx9	LHX9	protein_coding
65	ENSMUSG00000047907	Tshz2	TSHZ2	protein_coding
66	ENSMUSG00000031428	Zcchc18	ZCCHC18	protein_coding
67	ENSMUSG00000019785	Clvs2	CLVS2	protein_coding
68	ENSMUSG00000022892	App	APP	protein_coding
69	ENSMUSG00000060314	Zfp941	ZFP941	protein_coding
70	ENSMUSG00000058589	Anks1b	ANKS1B	protein_coding
71	ENSMUSG00000039316	Rftn1	RFTN1	protein_coding
72	ENSMUSG00000026469	Xpr1	XPR1	protein_coding
73	ENSMUSG00000020589	Cyria/Fam49a	CYRIA/FAM49A	protein_coding
74	ENSMUSG00000025558	Dock9	DOCK9	protein_coding
75	ENSMUSG00000030209	Grin2b	GRIN2B	protein_coding
76	ENSMUSG00000020256	Aldh1l2	ALDH1L2	protein_coding
77	ENSMUSG00000052852	Reep1	REEP1	protein_coding
79	ENSMUSG00000028525	Pde4b	PDE4B	protein_coding
80	ENSMUSG00000029420	Rimbp2	RIMBP2	protein_coding
81	ENSMUSG00000031224	Magee2	MAGEE2	protein_coding
82	ENSMUSG00000025743	Sdc3	SDC3	protein_coding
83	ENSMUSG00000026185	Igfbp5	IGFBP5	protein_coding
84	ENSMUSG00000046093	Hpcal4	HPCAL4	protein_coding
85	ENSMUSG00000026721	Rabgap1l	RABGAP1L	protein_coding
86	ENSMUSG00000016349	Eef1a2	EEF1A2	protein_coding
87	ENSMUSG00000005360	Slc1a3	SLC1A3	protein_coding
88	ENSMUSG00000020436	Gabrg2	GABRG2	protein_coding
90	ENSMUSG00000044770	Scml4	SCML4	protein_coding
91	ENSMUSG00000027238	Frmd5	FRMD5	protein_coding
92	ENSMUSG00000055493	Epm2a	EPM2A	protein_coding
95	ENSMUSG00000045180	Shroom2	SHROOM2	protein_coding
96	ENSMUSG00000051177	Plcb1	PLCB1	protein_coding
98	ENSMUSG00000060961	Slc4a4	SLC4A4	protein_coding
99	ENSMUSG00000038486	Sv2a	SV2A	protein_coding
100	ENSMUSG00000049470	Aff4	AFF4	protein_coding
101	ENSMUSG00000036333	Kidins220	KIDINS220	protein_coding
102	ENSMUSG00000039062	Anpep	ANPEP	protein_coding
103	ENSMUSG00000054383	Pnma1	PNMA1	protein_coding
104	ENSMUSG00000029309	Sparcl1	SPARCL1	protein_coding
105	ENSMUSG00000033557	Fam20b	FAM20B	protein_coding
106	ENSMUSG00000042216	Sgsm1	SGSM1	protein_coding
108	ENSMUSG00000027624	Epb41l1	EPB41L1	protein_coding
110	ENSMUSG00000025217	Btrc	BTRC	protein_coding
112	ENSMUSG00000053164	Gpr21	GPR21	protein_coding
113	ENSMUSG00000017466	Timp2	TIMP2	protein_coding
115	ENSMUSG00000049044	Rapgef4	RAPGEF4	protein_coding
116	ENSMUSG00000061911	Myt1l	MYT1L	protein_coding
117	ENSMUSG00000024589	Nedd4l	NEDD4L	protein_coding
118	ENSMUSG00000039579	Grin3a	GRIN3A	protein_coding
120	ENSMUSG00000041992	Rapgef5	RAPGEF5	protein_coding
121	ENSMUSG00000030077	Chl1	CHL1	protein_coding
122	ENSMUSG00000061353	Cxcl12	CXCL12	protein_coding
123	ENSMUSG00000034584	Exph5	EXPH5	protein_coding
124	ENSMUSG00000024131	Slc3a1	SLC3A1	protein_coding
127	ENSMUSG00000028273	Pdlim5	PDLIM5	protein_coding
128	ENSMUSG00000072944	Nup62cl	NUP62CL	protein_coding
129	ENSMUSG00000057455	Rit2	RIT2	protein_coding
130	ENSMUSG00000040125	Gpr26	GPR26	protein_coding
132	ENSMUSG00000055254	Ntrk2	NTRK2	protein_coding
133	ENSMUSG00000041141	Pnmal1	PNMAL1	protein_coding
136	ENSMUSG00000063626	Unc5d	UNC5D	protein_coding
137	ENSMUSG00000046785	Epm2aip1	EPM2AIP1	protein_coding
138	ENSMUSG00000042607	Asb4	ASB4	protein_coding
139	ENSMUSG00000007097	Atp1a2	ATP1A2	protein_coding
140	ENSMUSG00000034007	Scaper	SCAPER	protein_coding
141	ENSMUSG00000047146	Tet1	TET1	protein_coding
142	ENSMUSG00000034071	Zfp551	ZFP551	protein_coding
143	ENSMUSG00000002265	Peg3	PEG3	protein_coding
144	ENSMUSG00000036198	Arhgap36	ARHGAP36	protein_coding
145	ENSMUSG00000004040	Stat3	STAT3	protein_coding
146	ENSMUSG00000029778	Adcyap1r1	ADCYAP1R1	protein_coding
147	ENSMUSG00000038642	Ctss	CTSS	protein_coding
149	ENSMUSG00000047013	Fbxo41	FBXO41	protein_coding
152	ENSMUSG00000021541	Trpc7	TRPC7	protein_coding
154	ENSMUSG00000062296	Trank1	TRANK1	protein_coding
155	ENSMUSG00000007653	Gabrb2	GABRB2	protein_coding
157	ENSMUSG00000054013	Tmem179	TMEM179	protein_coding
159	ENSMUSG00000008575	Nfib	NFIB	protein_coding
161	ENSMUSG00000042082	Arsb	ARSB	protein_coding
163	ENSMUSG00000044674	Fzd1	FZD1	protein_coding
164	ENSMUSG00000015090	Ptgds	PTGDS	protein_coding
165	ENSMUSG00000066026	Dhrs3	DHRS3	protein_coding
166	ENSMUSG00000018593	Sparc	SPARC	protein_coding
168	ENSMUSG00000021708	Rasgrf2	RASGRF2	protein_coding
169	ENSMUSG00000036961	Wnt8b	WNT8B	protein_coding
170	ENSMUSG00000001506	Col1a1	COL1A1	protein_coding
172	ENSMUSG00000039100	Marchf6	MARCHF6	protein_coding
173	ENSMUSG00000004110	Cacna1e	CACNA1E	protein_coding
174	ENSMUSG00000026712	Mrc1	MRC1	protein_coding
176	ENSMUSG00000021573	Tppp	TPPP	protein_coding
182	ENSMUSG00000043154	Ppp2r3a	PPP2R3A	protein_coding
183	ENSMUSG00000040722	Scamp5	SCAMP5	protein_coding
184	ENSMUSG00000022548	Apod	APOD	protein_coding
185	ENSMUSG00000060882	Kcnd2	KCND2	protein_coding
186	ENSMUSG00000028541	B4galt2	B4GALT2	protein_coding
189	ENSMUSG00000022122	Ednrb	EDNRB	protein_coding
190	ENSMUSG00000059974	Ntm	NTM	protein_coding
191	ENSMUSG00000031934	Panx1	PANX1	protein_coding
192	ENSMUSG00000033676	Gabrb3	GABRB3	protein_coding
193	ENSMUSG00000040133	Gpr176	GPR176	protein_coding
194	ENSMUSG00000028176	Lrrc7	LRRC7	protein_coding
195	ENSMUSG00000028176	Lrrc7	LRRC7	protein_coding
196	ENSMUSG00000069833	Ahnak	AHNAK	protein_coding
197	ENSMUSG00000024039	Cbs	CBS	protein_coding
198	ENSMUSG00000043388	Tmem130	TMEM130	protein_coding
199	ENSMUSG00000066129	Kndc1	KNDC1	protein_coding
200	ENSMUSG00000039109	F13a1	F13A1	protein_coding
201	ENSMUSG00000070802	Pnmal2	PNMAL2	protein_coding
202	ENSMUSG00000005045	Chd5	CHD5	protein_coding
203	ENSMUSG00000048148	Nwd1	NWD1	protein_coding
204	ENSMUSG00000050711	Scg2	SCG2	protein_coding
205	ENSMUSG00000020173	Cobl	COBL	protein_coding
206	ENSMUSG00000019929	Dcn	DCN	protein_coding
207	ENSMUSG00000040848	Sft2d2	SFT2D2	protein_coding
208	ENSMUSG00000029661	Col1a2	COL1A2	protein_coding
209	ENSMUSG00000028451	1700022I11Rik	1700022I11RIK	protein_coding
210	ENSMUSG00000000303	Cdh1	CDH1	protein_coding
211	ENSMUSG00000023036	Pcdhgc4	PCDHGC4	protein_coding
212	ENSMUSG00000026043	Col3a1	COL3A1	protein_coding
213	ENSMUSG00000019874	Fabp7	FABP7	protein_coding
214	ENSMUSG00000024659	Anxa1	ANXA1	protein_coding
215	ENSMUSG00000025780	Itih5	ITIH5	protein_coding
216	ENSMUSG00000042182	Bend6	BEND6	protein_coding
217	ENSMUSG00000026678	Rgs5	RGS5	protein_coding
218	ENSMUSG00000035805	Mlc1	MLC1	protein_coding
220	ENSMUSG00000030116	Mfap5	MFAP5	protein_coding
222	ENSMUSG00000029484	Anxa3	ANXA3	protein_coding
223	ENSMUSG00000067288	Rps28	RPS28	protein_coding
224	ENSMUSG00000089774	Slc5a3	SLC5A3	protein_coding
225	ENSMUSG00000072964	Bhlhb9	BHLHB9	protein_coding
226	ENSMUSG00000060938	Rpl26	RPL26	protein_coding
227	ENSMUSG00000020241	Col6a2	COL6A2	protein_coding
229	ENSMUSG00000068220	Lgals1	LGALS1	protein_coding
230	ENSMUSG00000033444	Specc1l	SPECC1L	protein_coding
231	ENSMUSG00000063796	Slc22a8	SLC22A8	protein_coding
232	ENSMUSG00000033720	Sfxn5	SFXN5	protein_coding
233	ENSMUSG00000058297	Spock2	SPOCK2	protein_coding
234	ENSMUSG00000032076	Cadm1	CADM1	protein_coding
235	ENSMUSG00000040711	Sh3pxd2b	SH3PXD2B	protein_coding
236	ENSMUSG00000058587	Tmod3	TMOD3	protein_coding
237	ENSMUSG00000051890	Klhdc1	KLHDC1	protein_coding
238	ENSMUSG00000030172	Erc1	ERC1	protein_coding
239	ENSMUSG00000022865	Cxadr	CXADR	protein_coding
241	ENSMUSG00000017737	Mmp9	MMP9	protein_coding
242	ENSMUSG00000024261	Syt4	SYT4	protein_coding
243	ENSMUSG00000035000	Dpp4	DPP4	protein_coding
244	ENSMUSG00000067818	Myl9	MYL9	protein_coding
245	ENSMUSG00000053536	Cstf2t	CSTF2T	protein_coding
246	ENSMUSG00000022494	Shisa9	SHISA9	protein_coding
247	ENSMUSG00000004044	Cavin1/Ptrf	CAVIN1/PTRF	protein_coding
249	ENSMUSG00000025544	Tm9sf2	TM9SF2	protein_coding
251	ENSMUSG00000058153	Sez6l	SEZ6L	protein_coding
252	ENSMUSG00000070867	Trabd2b	TRABD2B	protein_coding
253	ENSMUSG00000018395	Kif3a	KIF3A	protein_coding
254	ENSMUSG00000025026	Add3	ADD3	protein_coding
255	ENSMUSG00000024529	Lox	LOX	protein_coding
256	ENSMUSG00000039717	Ralyl	RALYL	protein_coding
257	ENSMUSG00000047215	Rpl9	RPL9	protein_coding
258	ENSMUSG00000009378	Slc16a12	SLC16A12	protein_coding
259	ENSMUSG00000046352	Gjb2	GJB2	protein_coding
260	ENSMUSG00000058624	Gda	GDA	protein_coding
261	ENSMUSG00000028364	Tnc	TNC	protein_coding
262	ENSMUSG00000041120	Nbl1	NBL1	protein_coding
263	ENSMUSG00000046330	Rpl37a	RPL37A	protein_coding
264	ENSMUSG00000061080	Lsamp	LSAMP	protein_coding
265	ENSMUSG00000023913	Pla2g7	PLA2G7	protein_coding
266	ENSMUSG00000020733	Slc9a3r1	SLC9A3R1	protein_coding
267	ENSMUSG00000039206	Daglb	DAGLB	protein_coding
268	ENSMUSG00000064215	Ifi27	IFI27	protein_coding
269	ENSMUSG00000044197	Gpr146	GPR146	protein_coding
270	ENSMUSG00000062184	Hs6st2	HS6ST2	protein_coding
271	ENSMUSG00000037254	Itih2	ITIH2	protein_coding
272	ENSMUSG00000045827	Serpinb9	SERPINB9	protein_coding
273	ENSMUSG00000049336	Tenm2	TENM2	protein_coding
274	ENSMUSG00000024647	Cbln2	CBLN2	protein_coding
275	ENSMUSG00000044986	Tst	TST	protein_coding
276	ENSMUSG00000058254	Tspan7	TSPAN7	protein_coding
277	ENSMUSG00000033960	Jcad	JCAD	protein_coding
278	ENSMUSG00000020904	Cfap52	CFAP52	protein_coding
279	ENSMUSG00000031532	Saraf	SARAF	protein_coding
280	ENSMUSG00000022150	Dab2	DAB2	protein_coding
281	ENSMUSG00000005397	Nid1	NID1	protein_coding
282	ENSMUSG00000040212	Emp3	EMP3	protein_coding
283	ENSMUSG00000047875	Gpr157	GPR157	protein_coding
284	ENSMUSG00000007891	Ctsd	CTSD	protein_coding
285	ENSMUSG00000015766	Eps8	EPS8	protein_coding
286	ENSMUSG00000074923	Pak6	PAK6	protein_coding
287	ENSMUSG00000045312	Lhfpl2	LHFPL2	protein_coding
288	ENSMUSG00000021756	Il6st	IL6ST	protein_coding
289	ENSMUSG00000004951	Hspb1	HSPB1	protein_coding
291	ENSMUSG00000007655	Cav1	CAV1	protein_coding
292	ENSMUSG00000032440	Tgfbr2	TGFBR2	protein_coding
293	ENSMUSG00000020661	Dnmt3a	DNMT3A	protein_coding
294	ENSMUSG00000022525	Plaat1	PLAAT1	protein_coding
295	ENSMUSG00000025579	Gaa	GAA	protein_coding
296	ENSMUSG00000022816	Fstl1	FSTL1	protein_coding
297	ENSMUSG00000059479	B3gnt8	B3GNT8	protein_coding
298	ENSMUSG00000053141	Ptprt	PTPRT	protein_coding
299	ENSMUSG00000043298	Smco3	SMCO3	protein_coding
300	ENSMUSG00000040978	Gm11992	GM11992	protein_coding
301	ENSMUSG00000034361	Cpne2	CPNE2	protein_coding
302	ENSMUSG00000041117	Ccdc8	CCDC8	protein_coding
303	ENSMUSG00000000740	Rpl13	RPL13	protein_coding
304	ENSMUSG00000064373	Selenop	SELENOP	protein_coding
305	ENSMUSG00000049583	Grm5	GRM5	protein_coding
306	ENSMUSG00000030770	Parva	PARVA	protein_coding
308	ENSMUSG00000015305	Sash1	SASH1	protein_coding
309	ENSMUSG00000034467	Dynlrb2	DYNLRB2	protein_coding
310	ENSMUSG00000021125	Arg2	ARG2	protein_coding
311	ENSMUSG00000030605	Mfge8	MFGE8	protein_coding
312	ENSMUSG00000030934	Oat	OAT	protein_coding
313	ENSMUSG00000029810	Tmem176b	TMEM176B	protein_coding
314	ENSMUSG00000025232	Hexa	HEXA	protein_coding
315	ENSMUSG00000039533	Mmd2	MMD2	protein_coding
316	ENSMUSG00000054555	Adam12	ADAM12	protein_coding
317	ENSMUSG00000002341	Ncan	NCAN	protein_coding
318	ENSMUSG00000068874	Selenbp1	SELENBP1	protein_coding
319	ENSMUSG00000021411	Pxdc1	PXDC1	protein_coding
320	ENSMUSG00000036766	Dner	DNER	protein_coding
321	ENSMUSG00000074170	Plekhf1	PLEKHF1	protein_coding
322	ENSMUSG00000059343	Aldoart1	ALDOART1	protein_coding
323	ENSMUSG00000062075	Lmnb2	LMNB2	protein_coding
324	ENSMUSG00000028753	Vwa5b1	VWA5B1	protein_coding
325	ENSMUSG00000045062	Pcdhb7	PCDHB7	protein_coding
326	ENSMUSG00000027894	Slc6a17	SLC6A17	protein_coding
327	ENSMUSG00000032231	Anxa2	ANXA2	protein_coding
328	ENSMUSG00000052336	Cx3cr1	CX3CR1	protein_coding
329	ENSMUSG00000018398	Septin8	SEPTIN8	protein_coding
330	ENSMUSG00000029335	Bmp3	BMP3	protein_coding
331	ENSMUSG00000062257	Opcml	OPCML	protein_coding
332	ENSMUSG00000039221	Rpl22l1	RPL22L1	protein_coding
334	ENSMUSG00000021285	Ppp1r13b	PPP1R13B	protein_coding
335	ENSMUSG00000020044	Timp3	TIMP3	protein_coding
336	ENSMUSG00000057278	Snrpg	SNRPG	protein_coding
337	ENSMUSG00000030207	Fam234b	FAM234B	protein_coding
338	ENSMUSG00000079641	Rpl39	RPL39	protein_coding
339	ENSMUSG00000018585	Atox1	ATOX1	protein_coding
340	ENSMUSG00000027350	Chgb	CHGB	protein_coding
341	ENSMUSG00000031996	Aplp2	APLP2	protein_coding
342	ENSMUSG00000058600	Rpl30	RPL30	protein_coding
343	ENSMUSG00000022817	Itgb5	ITGB5	protein_coding
344	ENSMUSG00000048424	Ranbp3l	RANBP3L	protein_coding
345	ENSMUSG00000031636	Pdlim3	PDLIM3	protein_coding
346	ENSMUSG00000033066	Gas7	GAS7	protein_coding
347	ENSMUSG00000031026	Trim66	TRIM66	protein_coding
348	ENSMUSG00000030317	Timp4	TIMP4	protein_coding
349	ENSMUSG00000022783	Spag6l	SPAG6L	protein_coding
350	ENSMUSG00000036641	Ccdc148	CCDC148	protein_coding
351	ENSMUSG00000057322	Rpl38	RPL38	protein_coding
352	ENSMUSG00000035776	Cd99l2	CD99L2	protein_coding
353	ENSMUSG00000045589	Frrs1l	FRRS1L	protein_coding
354	ENSMUSG00000034723	Tmx4	TMX4	protein_coding
356	ENSMUSG00000029461	Fam168a	FAM168A	protein_coding
358	ENSMUSG00000059602	Syn3	SYN3	protein_coding
359	ENSMUSG00000106379	Lhfpl3	LHFPL3	protein_coding
360	ENSMUSG00000027800	Tm4sf1	TM4SF1	protein_coding
361	ENSMUSG00000036103	Colec12	COLEC12	protein_coding
363	ENSMUSG00000033306	Lpp	LPP	protein_coding
364	ENSMUSG00000070436	Serpinh1	SERPINH1	protein_coding
366	ENSMUSG00000003354	Ccdc65	CCDC65	protein_coding
367	ENSMUSG00000032419	Tbx18	TBX18	protein_coding
368	ENSMUSG00000001985	Grik3	GRIK3	protein_coding
369	ENSMUSG00000036188	Ankmy2	ANKMY2	protein_coding
370	ENSMUSG00000043639	Rbm20	RBM20	protein_coding
371	ENSMUSG00000046618	Olfml2a	OLFML2A	protein_coding
372	ENSMUSG00000016409	Nkap	NKAP	protein_coding
373	ENSMUSG00000053783	1700016K19Rik	1700016K19RIK	protein_coding
374	ENSMUSG00000032537	Ephb1	EPHB1	protein_coding
376	ENSMUSG00000027875	Hmgcs2	HMGCS2	protein_coding
377	ENSMUSG00000026227	2810459M11Rik	2810459M11RIK	protein_coding
378	ENSMUSG00000063434	Sorcs3	SORCS3	protein_coding
379	ENSMUSG00000028222	Calb1	CALB1	protein_coding
380	ENSMUSG00000054459	Vsnl1	VSNL1	protein_coding
381	ENSMUSG00000047959	Kcna3	KCNA3	protein_coding
382	ENSMUSG00000053297	AI854703	AI854703	protein_coding
383	ENSMUSG00000030134	Rasgef1a	RASGEF1A	protein_coding
385	ENSMUSG00000042846	Lrrtm3	LRRTM3	protein_coding
386	ENSMUSG00000046192	Iqub	IQUB	protein_coding
387	ENSMUSG00000050587	Lrrc4c	LRRC4C	protein_coding
388	ENSMUSG00000048721	Fndc9	FNDC9	protein_coding
389	ENSMUSG00000047773	Ankfn1	ANKFN1	protein_coding
390	ENSMUSG00000035228	Ccdc106	CCDC106	protein_coding
391	ENSMUSG00000022840	Adcy5	ADCY5	protein_coding
392	ENSMUSG00000022421	Nptxr	NPTXR	protein_coding
393	ENSMUSG00000025978	Rftn2	RFTN2	protein_coding
394	ENSMUSG00000046178	Nxph1	NXPH1	protein_coding
395	ENSMUSG00000041552	Ptchd1	PTCHD1	protein_coding
396	ENSMUSG00000074194	Zfp791	ZFP791	protein_coding
397	ENSMUSG00000073102	Drc1	DRC1	protein_coding
398	ENSMUSG00000098557	Kctd12	KCTD12	protein_coding
399	ENSMUSG00000039058	Ak5	AK5	protein_coding
400	ENSMUSG00000040490	Lrfn2	LRFN2	protein_coding
402	ENSMUSG00000036800	Fam135b	FAM135B	protein_coding
403	ENSMUSG00000029757	Dync1i1	DYNC1I1	protein_coding
404	ENSMUSG00000023964	Calcr	CALCR	protein_coding
405	ENSMUSG00000003420	Fcgrt	FCGRT	protein_coding
406	ENSMUSG00000017740	Slc12a5	SLC12A5	protein_coding
408	ENSMUSG00000029298	Gbp9	GBP9	protein_coding
