ranking	genes	Gene.name.1	Gene2	Gene.type
604	ENSMUSG00000022667	Cd200r1	CD200R1	NA
605	ENSMUSG00000072612	Gm10382	GM10382	NA
606	ENSMUSG00000005069	Pex5	PEX5	NA
607	ENSMUSG00000087881	Gm22442	GM22442	NA
608	ENSMUSG00000029212	Gabrb1	GABRB1	NA
609	ENSMUSG00000042155	Klhl23	KLHL23	NA
610	ENSMUSG00000052698	Tln2	TLN2	NA
611	ENSMUSG00000026478	Lamc1	LAMC1	NA
613	ENSMUSG00000032348	Gsta4	GSTA4	NA
614	ENSMUSG00000031375	Bgn	BGN	NA
615	ENSMUSG00000068923	Syt11	SYT11	NA
616	ENSMUSG00000057604	Lmcd1	LMCD1	NA
617	ENSMUSG00000033350	Chst2	CHST2	NA
618	ENSMUSG00000048218	Amigo2	AMIGO2	NA
619	ENSMUSG00000028517	Plpp3	PLPP3	NA
620	ENSMUSG00000029992	Gfpt1	GFPT1	NA
621	ENSMUSG00000032925	Itgbl1	ITGBL1	NA
622	ENSMUSG00000025810	Nrp1	NRP1	NA
623	ENSMUSG00000022594	Lynx1	LYNX1	NA
624	ENSMUSG00000031451	Gas6	GAS6	NA
625	ENSMUSG00000106060	Gm42488	GM42488	NA
626	ENSMUSG00000020142	Slc1a4	SLC1A4	NA
627	ENSMUSG00000067085	Gm10197	GM10197	NA
628	ENSMUSG00000043300	B3galnt1	B3GALNT1	NA
629	ENSMUSG00000027015	Cybrd1	CYBRD1	NA
630	ENSMUSG00000040111	Gramd1b	GRAMD1B	NA
631	ENSMUSG00000031529	Tnks	TNKS	NA
632	ENSMUSG00000038984	Tspyl5	TSPYL5	NA
633	ENSMUSG00000055538	Zcchc24	ZCCHC24	NA
634	ENSMUSG00000038521	C1s1	C1S1	NA
635	ENSMUSG00000029095	Ablim2	ABLIM2	NA
636	ENSMUSG00000035910	Dcdc2a	DCDC2A	NA
637	ENSMUSG00000051537	Gm5124	GM5124	NA
638	ENSMUSG00000017754	Pltp	PLTP	NA
639	ENSMUSG00000054457	9430021M05Rik	9430021M05RIK	NA
640	ENSMUSG00000027868	Tbx15	TBX15	NA
641	ENSMUSG00000067825	Pex26	PEX26	NA
642	ENSMUSG00000038058	Nod1	NOD1	NA
643	ENSMUSG00000031610	Scrg1	SCRG1	NA
644	ENSMUSG00000019539	Rcn3	RCN3	NA
645	ENSMUSG00000022425	Enpp2	ENPP2	NA
646	ENSMUSG00000043881	Kbtbd7	KBTBD7	NA
647	ENSMUSG00000021147	Wdr37	WDR37	NA
648	ENSMUSG00000055653	Gpc3	GPC3	NA
649	ENSMUSG00000031595	Pdgfrl	PDGFRL	NA
650	ENSMUSG00000064080	Fbln2	FBLN2	NA
651	ENSMUSG00000042616	Oscp1	OSCP1	NA
652	ENSMUSG00000036466	Megf11	MEGF11	NA
654	ENSMUSG00000025083	Afap1l2	AFAP1L2	NA
655	ENSMUSG00000090665	Gad1-ps	GAD1-PS	NA
656	ENSMUSG00000103309	BC037039	BC037039	NA
657	ENSMUSG00000023032	Slc4a8	SLC4A8	NA
658	ENSMUSG00000055026	Gabrg3	GABRG3	NA
659	ENSMUSG00000024620	Pdgfrb	PDGFRB	NA
660	ENSMUSG00000024423	Impact	IMPACT	NA
661	ENSMUSG00000044550	Tceal3	TCEAL3	NA
662	ENSMUSG00000004630	Pcp2	PCP2	NA
663	ENSMUSG00000030088	Aldh1l1	ALDH1L1	NA
664	ENSMUSG00000026820	Ptges2	PTGES2	NA
665	ENSMUSG00000086075	Gm15728	GM15728	NA
666	ENSMUSG00000104155	Gm38103	GM38103	NA
667	ENSMUSG00000041577	Prelp	PRELP	NA
668	ENSMUSG00000033577	Myo6	MYO6	NA
669	ENSMUSG00000035735	Dagla	DAGLA	NA
670	ENSMUSG00000002459	Rgs20	RGS20	NA
671	ENSMUSG00000024479	Mal2	MAL2	NA
672	ENSMUSG00000040035	Disp2	DISP2	NA
673	ENSMUSG00000027312	Atrn	ATRN	NA
674	ENSMUSG00000032452	Clstn2	CLSTN2	NA
675	ENSMUSG00000091089	NA	NA	NA
676	ENSMUSG00000052026	Slc6a7	SLC6A7	NA
677	ENSMUSG00000102918	Pcdhgc3	PCDHGC3	NA
678	ENSMUSG00000002289	Angptl4	ANGPTL4	NA
680	ENSMUSG00000059713	Rcan3	RCAN3	NA
681	ENSMUSG00000037206	Islr	ISLR	NA
682	ENSMUSG00000039629	Strip2	STRIP2	NA
683	ENSMUSG00000032998	Foxj3	FOXJ3	NA
684	ENSMUSG00000028194	Ddah1	DDAH1	NA
685	ENSMUSG00000033174	Mgll	MGLL	NA
686	ENSMUSG00000031518	Spata4	SPATA4	NA
687	ENSMUSG00000050103	Agmo	AGMO	NA
688	ENSMUSG00000038917	3930402G23Rik	3930402G23RIK	NA
689	ENSMUSG00000032788	Pdxk	PDXK	NA
690	ENSMUSG00000068794	Col28a1	COL28A1	NA
691	ENSMUSG00000040260	Daam2	DAAM2	NA
692	ENSMUSG00000020986	Sec23a	SEC23A	NA
693	ENSMUSG00000024236	Svil	SVIL	NA
694	ENSMUSG00000023011	Faim2	FAIM2	NA
695	ENSMUSG00000107061	Gm19590	GM19590	NA
696	ENSMUSG00000037138	Aff3	AFF3	NA
697	ENSMUSG00000074872	Ctxn2	CTXN2	NA
698	ENSMUSG00000026788	Zbtb43	ZBTB43	NA
699	ENSMUSG00000026173	Plcd4	PLCD4	NA
700	ENSMUSG00000085033	Gm11646	GM11646	NA
701	ENSMUSG00000020014	Cfap54	CFAP54	NA
